_id,id,device_id,record_oid,count_start_date,Day_start,Month_start,Year_start,count_end_date,Day_end,Month_end,Year_end,average_daily_car_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
1,1011743669,85,1445865260,2019-04-18T00:00:00Z,18,04,2019,2019-04-26T00:00:00Z,26,04,2019,4949,6,StatTrak,25,,29,77,34,37,-79.96777201,40.45573295,Polish Hill,7,6,42003060500,6,6,2,2-6
4,103627606,9,734195080,2018-07-17T00:00:00Z,17,07,2018,2018-08-01T00:00:00Z,01,08,2018,2741,,StatTrak,25,61,28,70,31,33,-79.91433497,40.43737854,Squirrel Hill South,5,14,42003140800,3,14,4,2-18
6,1041392556,76,571347213,2019-03-22T00:00:00Z,22,03,2019,2019-03-29T00:00:00Z,29,03,2019,1046,2,StatTrak,25,,19,2,21,23,-80.01423363,40.45810596,Central Northside,6,25,42003250300,1,25,1,1-21
8,1053645660,87,804208919,2019-04-18T00:00:00Z,18,04,2019,2019-04-26T00:00:00Z,26,04,2019,3015,4,StatTrak,25,,26,58,31,34,-79.96459248,40.45711932,Polish Hill,7,6,42003060500,6,6,2,2-6
11,1102260248,8,1088318339,2018-07-16T00:00:00Z,16,07,2018,2018-08-01T00:00:00Z,01,08,2018,5592,,StatTrak,25,61,28,70,31,33,-79.91192545,40.43562019,Squirrel Hill South,5,14,42003140800,3,14,4,2-21
14,1130122192,65,1341476139,2019-02-05T00:00:00Z,05,02,2019,2019-02-14T00:00:00Z,14,02,2019,1455,,StatTrak,25,,22,23,28,32,-79.97955406,40.43648236,Bluff,6,1,42003010300,3,1,2,2-1
15,115502120,176,1215642552,2019-08-09T00:00:00Z,09,08,2019,2019-08-19T00:00:00Z,19,08,2019,11500,5,StatTrak,25,,37,98,41,44,-80.05240317,40.45192582,Crafton Heights,2,20,42003281400,5,20,6,1-16
18,1158858353,36,1131386560,2018-06-25T00:00:00Z,25,06,2018,2018-07-12T00:00:00Z,12,07,2018,7688,,StatTrak,25,64,32,92,35,38,-79.92331564,40.47816127,Highland Park,7,11,42003110200,2,11,5,3-9
19,1159852619,118,1024536191,2019-07-09T00:00:00Z,09,07,2019,2019-07-12T00:00:00Z,12,07,2019,10350,12,StatTrak,25,,29,78,34,39,-80.00193738,40.4478489,North Shore,1,22,42003563200,6,22,1,1-20
20,1181317290,50,547249635,2018-12-28T00:00:00Z,28,12,2018,2019-01-10T00:00:00Z,10,01,2019,9435,11,StatTrak,25,,29,79,34,38,-79.9269309,40.47015706,East Liberty,9,11,42003111300,2,11,5,3-8
21,1195830691,23,914441129,2019-12-15T00:00:00Z,15,12,2019,2019-12-24T00:00:00Z,24,12,2019,3860,2,StatTrak,25,,24,36,29,34,-80.00955705,40.4331717,Mount Washington,2,19,42003190300,5,19,3,4-27
22,1204353487,173,604849055,2019-08-09T00:00:00Z,09,08,2019,2019-08-19T00:00:00Z,19,08,2019,9709,6,StatTrak,25,,29,79,34,36,-80.01587315,40.40252762,Brookline,4,19,42003191700,5,19,6,4-26
26,1263398518,202,1714736490,2019-11-04T00:00:00Z,04,11,2019,2019-11-13T00:00:00Z,13,11,2019,613,2,StatTrak,25,,22,25,27,31,-79.92741399,40.45231499,Shadyside,8,7,42003070600,2,7,4,3-11
27,1292111053,179,1825903801,2019-08-30T00:00:00Z,30,08,2019,2019-09-09T00:00:00Z,09,09,2019,1163,15,StatTrak,25,,25,44,29,32,-79.92397388,40.46907146,East Liberty,9,11,42003111300,2,11,5,3-8
28,129975666,169,403208613,2019-08-01T00:00:00Z,01,08,2019,2019-08-09T00:00:00Z,09,08,2019,7686,3,StatTrak,25,,30,89,35,38,-80.01423835,40.42978268,Mount Washington,2,19,42003190300,5,19,3,4-1
30,1329900951,133,1615505629,2019-07-18T00:00:00Z,18,07,2019,2019-07-26T00:00:00Z,26,07,2019,3239,2,StatTrak,25,,27,62,32,35,-79.91652254,40.44443596,Squirrel Hill North,8,14,42003140300,3,14,4,2-18
31,133236567,73,1441617442,2019-02-14T00:00:00Z,14,02,2019,2019-02-22T00:00:00Z,22,02,2019,1120,CHECK # AND DIRECTION,StatTrak,25,,21,17,26,29,-79.94571343,40.45549902,Bloomfield,7,8,42003080400,2,8,5,2-23
32,1345473232,26,1550819866,2018-11-14T00:00:00Z,14,11,2018,2018-11-20T00:00:00Z,20,11,2018,9546,,StatTrak,25,59,28,68,31,34,-79.92779001,40.43688097,Squirrel Hill South,5,14,42003141300,3,14,4,2-21
33,1354544991,114,87062605,2019-06-28T00:00:00Z,28,06,2019,2019-07-05T00:00:00Z,05,07,2019,6984,14,StatTrak,35,,29,14,35,39,-79.9406417,40.4563822,Bloomfield,7,8,42003080400,2,8,5,3-1
34,137432711,61,1367249115,2019-03-07T00:00:00Z,07,03,2019,2019-03-14T00:00:00Z,14,03,2019,8512,1,StatTrak,25,30,26,52,31,35,-79.91439666,40.46062267,Larimer,9,12,42003120800,2,12,5,3-10
35,1400409572,106,677650724,2019-06-13T00:00:00Z,13,06,2019,2019-06-20T00:00:00Z,20,06,2019,4448,,StatTrak,25,,28,68,25,,-79.93595346,40.46180227,Friendship,9,8,42003080700,2,8,5,3-23
37,1412494129,116,159026183,2019-07-05T00:00:00Z,05,07,2019,2019-07-11T00:00:00Z,11,07,2019,3150,6,StatTrak,25,,34,95,39,43,-79.93727559,40.43804843,Squirrel Hill North,5,14,42003140100,3,14,4,2-8
38,1419330323,92,1083199734,2019-04-26T00:00:00Z,26,04,2019,2019-05-04T00:00:00Z,04,05,2019,12335,,StatTrak,25,,31,87,36,39,-79.89620029,40.4444114,Point Breeze,9,14,42003140600,3,14,4,3-14
40,144345379,192,383914084,2019-10-14T00:00:00Z,14,10,2019,2019-10-21T00:00:00Z,21,10,2019,16729,3,StatTrak,25,,30,86,35,38,-79.89667461,40.43681375,Regent Square,5,14,42003141000,3,14,4,2-16
42,1466903750,3,2009670262,2018-09-13T00:00:00Z,13,09,2018,2018-09-20T00:00:00Z,20,09,2018,8407,,StatTrak,25,77,32,97,36,39,-79.92899198,40.4693202,East Liberty,9,11,42003111300,2,11,5,3-4
43,1468921509,132,1461288045,2019-07-18T00:00:00Z,18,07,2019,2019-07-26T00:00:00Z,26,07,2019,1265,1,StatTrak,25,,26,56,30,33,-79.91650754,40.44561249,Point Breeze,8,14,42003140400,3,14,4,2-17
44,1503643471,55,1966066309,2019-01-14T00:00:00Z,14,01,2019,2019-01-22T00:00:00Z,22,01,2019,1786,14,StatTrak,25,,18,4,21,24,-79.96050515,40.47360042,Central Lawrenceville,7,9,42003090100,2,9,2,3-3
46,1533566550,196,1464305119,2019-10-21T00:00:00Z,21,10,2019,2019-10-29T00:00:00Z,29,10,2019,527,4,StatTrak,25,,23,25,27,30,-79.98968666,40.41812496,Knoxville,3,30,42003300100,5,30,3,4-6
47,1566340195,24,1549751514,2019-10-21T00:00:00Z,21,10,2019,2019-10-28T00:00:00Z,28,10,2019,3776,5,StatTrak,25,,25,47,30,33,-79.9493951,40.44112373,Central Oakland,5,4,42003040600,3,4,4,2-8
48,1568219989,31,2101724073,2019-01-14T00:00:00Z,14,01,2019,2019-01-22T00:00:00Z,22,01,2019,6443,,StatTrak,25,,25,47,32,36,-79.98064703,40.45349731,Strip District,7,2,42003020300,6,2,2,2-25
51,1592268905,111,242374247,2019-06-28T00:00:00Z,28,06,2019,2019-07-05T00:00:00Z,05,07,2019,6984,11,StatTrak,35,,30,14,35,39,-79.95007952,40.45402427,Bloomfield,7,8,42003080400,2,8,5,2-23
55,1635967977,12,1029658716,2019-12-12T00:00:00Z,12,12,2019,2019-12-24T00:00:00Z,24,12,2019,1080,16,StatTrak,25,,24,39,31,36,-79.9155315,40.471092,Highland Park,7,11,42003110600,2,11,5,3-9
56,1658184502,60,1739195149,2019-03-08T00:00:00Z,08,03,2019,2019-03-14T00:00:00Z,14,03,2019,1218,5,StatTrak,25,,19,10,24,27,-79.91288926,40.46107368,Larimer,9,12,42003120800,2,12,5,3-12
57,1667548447,62,1755445415,2019-03-07T00:00:00Z,07,03,2019,2019-03-14T00:00:00Z,14,03,2019,728,2,StatTrak,25,,22,22,27,29,-79.91397019,40.46013288,Larimer,9,12,42003120800,2,12,5,3-10
58,1669534769,10,1211728398,2018-08-20T00:00:00Z,20,08,2018,2018-09-04T00:00:00Z,04,09,2018,2931,,StatTrak,25,73,32,44,36,40,-80.07339585,40.45766034,Windgap,2,28,42003563000,5,28,6,1-16
59,1670424503,45,256296411,2018-12-11T00:00:00Z,11,12,2018,2018-12-20T00:00:00Z,20,12,2018,2046,2,StatTrak,25,56,30,85,35,38,-80.02553687,40.40494914,Beechview,4,19,42003192000,5,19,6,4-28
61,1683704966,74,2021427153,2019-02-14T00:00:00Z,14,02,2019,2019-02-22T00:00:00Z,22,02,2019,7111,,StatTrak,25,,32,91,38,41,-79.94753931,40.45629549,Bloomfield,7,8,42003080400,2,8,5,2-23
62,1691716209,33,104424121,2019-12-12T00:00:00Z,12,12,2019,2019-12-24T00:00:00Z,24,12,2019,1530,5,StatTrak,25,,22,15,25,28,-79.96058225,40.45581498,Upper Hill,6,5,42003050600,3,5,2,2-22
