ID,CODE,MUNICIPIO,PROVINCIA,2020
48001DP,48001,Abadiño,Biscay,0.79
20001DP,20001,Abaltzisketa,Gipuzkoa,0
48002DP,48002,Abanto y Ciérbana-Abanto Zierbena,Biscay,1.38
20002DP,20002,Aduna,Gipuzkoa,0
20016DP,20016,Aia,Gipuzkoa,0
20003DP,20003,Aizarnazabal,Gipuzkoa,0
48911DP,48911,Ajangiz,Biscay,0
20004DP,20004,Albiztur,Gipuzkoa,0
20005DP,20005,Alegia,Gipuzkoa,0
1001DP,1001,Alegría-Dulantzi,Álava,0.32
20006DP,20006,Alkiza,Gipuzkoa,0
48912DP,48912,Alonsotegi,Biscay,0.68
20906DP,20906,Altzaga,Gipuzkoa,0
20007DP,20007,Altzo,Gipuzkoa,0
20008DP,20008,Amezketa,Gipuzkoa,0
48003DP,48003,Amorebieta-Etxano,Biscay,1.25
48004DP,48004,Amoroto,Biscay,0
1002DP,1002,Amurrio,Álava,1.25
20009DP,20009,Andoain,Gipuzkoa,1.35
20010DP,20010,Anoeta,Gipuzkoa,0
20011DP,20011,Antzuola,Gipuzkoa,0.47
48005DP,48005,Arakaldo,Biscay,0
20012DP,20012,Arama,Gipuzkoa,0
1003DP,1003,Aramaio,Álava,0.67
48006DP,48006,Arantzazu,Biscay,0
48093DP,48093,Areatza,Biscay,0.79
20013DP,20013,Aretxabaleta,Gipuzkoa,0.42
1006DP,1006,Armiñón,Álava,0
1037DP,1037,Arraia-Maeztu,Álava,0
48009DP,48009,Arrankudiaga,Biscay,0
20055DP,20055,Arrasate/Mondragón,Gipuzkoa,1.38
48914DP,48914,Arratzu,Biscay,0
1008DP,1008,Arratzua-Ubarrundia,Álava,0
48010DP,48010,Arrieta,Biscay,0
48011DP,48011,Arrigorriaga,Biscay,1.43
48023DP,48023,Artea,Biscay,1.34
48008DP,48008,Artzentales,Biscay,0
1004DP,1004,Artziniega,Álava,0
1009DP,1009,Asparrena,Álava,0
20014DP,20014,Asteasu,Gipuzkoa,0
20903DP,20903,Astigarraga,Gipuzkoa,1.42
20015DP,20015,Ataun,Gipuzkoa,0
48091DP,48091,Atxondo,Biscay,0
48070DP,48070,Aulesti,Biscay,0
1010DP,1010,Ayala/Aiara,Álava,0
20017DP,20017,Azkoitia,Gipuzkoa,0.92
20018DP,20018,Azpeitia,Gipuzkoa,1.11
1049DP,1049,Añana,Álava,0
48012DP,48012,Bakio,Biscay,1.08
20904DP,20904,Baliarrain,Gipuzkoa,0
48090DP,48090,Balmaseda,Biscay,1.17
48013DP,48013,Barakaldo,Biscay,1.34
48014DP,48014,Barrika,Biscay,0
1013DP,1013,Barrundia,Álava,0
48015DP,48015,Basauri,Biscay,1.33
1011DP,1011,Baños de Ebro/Mañueta,Álava,0
20019DP,20019,Beasain,Gipuzkoa,1.08
48092DP,48092,Bedia,Biscay,0
