ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
48001DP,48001,Abadiño,https://www.wikidata.org/wiki/Q744893,Biscay,https://www.wikidata.org/wiki/Q93366,0.79
20001DP,20001,Abaltzisketa,https://www.wikidata.org/wiki/Q1598962,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48002DP,48002,Abanto y Ciérbana-Abanto Zierbena,https://www.wikidata.org/wiki/Q1242411,Biscay,https://www.wikidata.org/wiki/Q93366,1.38
20002DP,20002,Aduna,https://www.wikidata.org/wiki/Q576753,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20016DP,20016,Aia,https://www.wikidata.org/wiki/Q1631163,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20003DP,20003,Aizarnazabal,https://www.wikidata.org/wiki/Q1625876,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48911DP,48911,Ajangiz,https://www.wikidata.org/wiki/Q1228043,Biscay,https://www.wikidata.org/wiki/Q93366,0
20004DP,20004,Albiztur,https://www.wikidata.org/wiki/Q1639421,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20005DP,20005,Alegia,https://www.wikidata.org/wiki/Q1639961,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
1001DP,1001,Alegría-Dulantzi,https://www.wikidata.org/wiki/Q1330796,Álava,https://www.wikidata.org/wiki/Q81801,0.32
20006DP,20006,Alkiza,https://www.wikidata.org/wiki/Q650223,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48912DP,48912,Alonsotegi,https://www.wikidata.org/wiki/Q927978,Biscay,https://www.wikidata.org/wiki/Q93366,0.68
20906DP,20906,Altzaga,https://www.wikidata.org/wiki/Q1639435,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20007DP,20007,Altzo,https://www.wikidata.org/wiki/Q1639371,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20008DP,20008,Amezketa,https://www.wikidata.org/wiki/Q942106,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
48003DP,48003,Amorebieta-Etxano,https://www.wikidata.org/wiki/Q474080,Biscay,https://www.wikidata.org/wiki/Q93366,1.25
48004DP,48004,Amoroto,https://www.wikidata.org/wiki/Q427240,Biscay,https://www.wikidata.org/wiki/Q93366,0
1002DP,1002,Amurrio,https://www.wikidata.org/wiki/Q481760,Álava,https://www.wikidata.org/wiki/Q81801,1.25
20009DP,20009,Andoain,https://www.wikidata.org/wiki/Q1598976,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,1.35
20010DP,20010,Anoeta,https://www.wikidata.org/wiki/Q1640537,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
20011DP,20011,Antzuola,https://www.wikidata.org/wiki/Q1625886,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0.47
48005DP,48005,Arakaldo,https://www.wikidata.org/wiki/Q971263,Biscay,https://www.wikidata.org/wiki/Q93366,0
20012DP,20012,Arama,https://www.wikidata.org/wiki/Q1625902,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,0
