ID,CODE,MUNICIPIO,PROVINCIA,2020
48001IdxD,48001,Abadiño,Biscay,41.1
20001IdxD,20001,Abaltzisketa,Gipuzkoa,57.88
48002IdxD,48002,Abanto y Ciérvana-Abanto Zierbena,Biscay,36.81
20002IdxD,20002,Aduna,Gipuzkoa,83.16
20016IdxD,20016,Aia,Gipuzkoa,28.37
20003IdxD,20003,Aizarnazabal,Gipuzkoa,20.78
48911IdxD,48911,Ajangiz,Biscay,26.49
20004IdxD,20004,Albiztur,Gipuzkoa,30.2
20005IdxD,20005,Alegia,Gipuzkoa,36.52
1001IdxD,1001,Alegría-Dulantzi,Álava,34.52
20006IdxD,20006,Alkiza,Gipuzkoa,22.92
48912IdxD,48912,Alonsotegi,Biscay,39.53
20906IdxD,20906,Altzaga,Gipuzkoa,11.3
20007IdxD,20007,Altzo,Gipuzkoa,50.89
20008IdxD,20008,Amezketa,Gipuzkoa,22.73
48003IdxD,48003,Amorebieta-Etxano,Biscay,19.99
48004IdxD,48004,Amoroto,Biscay,21.9
1002IdxD,1002,Amurrio,Álava,21.13
20009IdxD,20009,Andoain,Gipuzkoa,19.63
20010IdxD,20010,Anoeta,Gipuzkoa,28.01
20011IdxD,20011,Antzuola,Gipuzkoa,22.65
48005IdxD,48005,Arakaldo,Biscay,58.82
20012IdxD,20012,Arama,Gipuzkoa,78.05
1003IdxD,1003,Aramaio,Álava,18.15
48006IdxD,48006,Arantzazu,Biscay,27.3
48093IdxD,48093,Areatza,Biscay,24.92
20013IdxD,20013,Aretxabaleta,Gipuzkoa,15.64
1006IdxD,1006,Armiñón,Álava,40.18
1037IdxD,1037,Arraia-Maeztu,Álava,22.25
48009IdxD,48009,Arrankudiaga,Biscay,33.5
20055IdxD,20055,Arrasate/Mondragón,Gipuzkoa,19.04
48914IdxD,48914,Arratzu,Biscay,33.98
1008IdxD,1008,Arratzua-Ubarrundia,Álava,73.47
48010IdxD,48010,Arrieta,Biscay,44.4
48011IdxD,48011,Arrigorriaga,Biscay,29.03
48023IdxD,48023,Artea,Biscay,29.93
48008IdxD,48008,Artzentales,Biscay,40.46
1004IdxD,1004,Artziniega,Álava,33.39
1009IdxD,1009,Asparrena,Álava,39.1
20014IdxD,20014,Asteasu,Gipuzkoa,34.44
20903IdxD,20903,Astigarraga,Gipuzkoa,26.22
20015IdxD,20015,Ataun,Gipuzkoa,16.79
48091IdxD,48091,Atxondo,Biscay,24.66
48070IdxD,48070,Aulesti,Biscay,12.23
1010IdxD,1010,Ayala/Aiara,Álava,36.85
20017IdxD,20017,Azkoitia,Gipuzkoa,16.62
20018IdxD,20018,Azpeitia,Gipuzkoa,14.93
1049IdxD,1049,Añana,Álava,28.25
48012IdxD,48012,Bakio,Biscay,39.94
20904IdxD,20904,Baliarrain,Gipuzkoa,12.5
48090IdxD,48090,Balmaseda,Biscay,38.01
48013IdxD,48013,Barakaldo,Biscay,41.98
48014IdxD,48014,Barrika,Biscay,48.69
1013IdxD,1013,Barrundia,Álava,43.85
48015IdxD,48015,Basauri,Biscay,33.66
1011IdxD,1011,Baños de Ebro/Mañueta,Álava,53.97
20019IdxD,20019,Beasain,Gipuzkoa,33.3
48092IdxD,48092,Bedia,Biscay,41.43
20020IdxD,20020,Beizama,Gipuzkoa,41.32
20021IdxD,20021,Belauntza,Gipuzkoa,116.1
48016IdxD,48016,Berango,Biscay,34.04
1014IdxD,1014,Berantevilla,Álava,35.93
20022IdxD,20022,Berastegi,Gipuzkoa,20.7
20074IdxD,20074,Bergara,Gipuzkoa,29.62
48017IdxD,48017,Bermeo,Biscay,24.53
1016IdxD,1016,Bernedo,Álava,27.99
48018IdxD,48018,Berriatua,Biscay,27.98
48019IdxD,48019,Berriz,Biscay,28.03
20023IdxD,20023,Berrobi,Gipuzkoa,44.41
20024IdxD,20024,Bidania-Goiatz,Gipuzkoa,16.39
48020IdxD,48020,Bilbao,Biscay,48.61
48021IdxD,48021,Busturia,Biscay,33.01
1017IdxD,1017,Campezo/Kanpezu,Álava,14.81
20029IdxD,20029,Deba,Gipuzkoa,31.96
48901IdxD,48901,Derio,Biscay,37.65
48026IdxD,48026,Dima,Biscay,30.89
20069IdxD,20069,Donostia / San Sebastián,Gipuzkoa,32.54
48027IdxD,48027,Durango,Biscay,25.04
48028IdxD,48028,Ea,Biscay,44.05
20030IdxD,20030,Eibar,Gipuzkoa,33.47
48031IdxD,48031,Elantxobe,Biscay,39.77
1021IdxD,1021,Elburgo/Burgelu,Álava,29.41
1022IdxD,1022,Elciego,Álava,28.13
20031IdxD,20031,Elduain,Gipuzkoa,33.06
20033IdxD,20033,Elgeta,Gipuzkoa,31.08
20032IdxD,20032,Elgoibar,Gipuzkoa,19.28
48032IdxD,48032,Elorrio,Biscay,14.48
1023IdxD,1023,Elvillar/Bilar,Álava,28.65
48902IdxD,48902,Erandio,Biscay,37.21
48033IdxD,48033,Ereño,Biscay,29.09
48034IdxD,48034,Ermua,Biscay,24.57
20067IdxD,20067,Errenteria,Gipuzkoa,32.45
20066IdxD,20066,Errezil,Gipuzkoa,11.61
1046IdxD,1046,Erriberagoitia/Ribera Alta,Álava,32.79
48079IdxD,48079,Errigoiti,Biscay,34.76
20034IdxD,20034,Eskoriatza,Gipuzkoa,20.4
48029IdxD,48029,Etxebarri,Biscay,22.35
48030IdxD,48030,Etxebarria,Biscay,28.89
20035IdxD,20035,Ezkio-Itsaso,Gipuzkoa,36.16
48906IdxD,48906,Forua,Biscay,35.09
48035IdxD,48035,Fruiz,Biscay,52.35
20038IdxD,20038,Gabiria,Gipuzkoa,15.38
20037IdxD,20037,Gaintza,Gipuzkoa,16.39
48036IdxD,48036,Galdakao,Biscay,32.21
48037IdxD,48037,Galdames,Biscay,60.57
48038IdxD,48038,Gamiz-Fika,Biscay,29.2
48039IdxD,48039,Garai,Biscay,9.35
48040IdxD,48040,Gatika,Biscay,31.34
48041IdxD,48041,Gautegiz Arteaga,Biscay,32.56
20907IdxD,20907,Gaztelu,Gipuzkoa,155.17
48046IdxD,48046,Gernika-Lumo,Biscay,32.71
20039IdxD,20039,Getaria,Gipuzkoa,22.22
48044IdxD,48044,Getxo,Biscay,24.48
48047IdxD,48047,Gizaburuaga,Biscay,14.78
48042IdxD,48042,Gordexola,Biscay,37.81
48043IdxD,48043,Gorliz,Biscay,47.19
48045IdxD,48045,Güeñes,Biscay,25.5
1056IdxD,1056,Harana/Valle de Arana,Álava,42.02
20040IdxD,20040,Hernani,Gipuzkoa,31.24
20041IdxD,20041,Hernialde,Gipuzkoa,28.75
20036IdxD,20036,Hondarribia,Gipuzkoa,21.41
20042IdxD,20042,Ibarra,Gipuzkoa,25.93
48048IdxD,48048,Ibarrangelu,Biscay,119.63
20043IdxD,20043,Idiazabal,Gipuzkoa,13.57
48094IdxD,48094,Igorre,Biscay,31.52
20044IdxD,20044,Ikaztegieta,Gipuzkoa,54.05
20045IdxD,20045,Irun,Gipuzkoa,39.97
20046IdxD,20046,Irura,Gipuzkoa,50.41
1027IdxD,1027,Iruraiz-Gauna,Álava,43.24
1901IdxD,1901,Iruña Oka/Iruña de Oca,Álava,36.22
48049IdxD,48049,Ispaster,Biscay,37.28
20047IdxD,20047,Itsasondo,Gipuzkoa,28.49
48910IdxD,48910,Iurreta,Biscay,39.03
48050IdxD,48050,Izurtza,Biscay,77.49
48022IdxD,48022,Karrantza Harana/Valle de Carranza,Biscay,52.33
48907IdxD,48907,Kortezubi,Biscay,24.77
1019IdxD,1019,Kripan,Álava,21.98
1020IdxD,1020,Kuartango,Álava,20.89
1028IdxD,1028,Labastida/Bastida,Álava,23.42
1030IdxD,1030,Lagrán,Álava,27.78
1031IdxD,1031,Laguardia,Álava,48.27
1032IdxD,1032,Lanciego/Lantziego,Álava,18.87
48051IdxD,48051,Lanestosa,Biscay,10.71
1902IdxD,1902,Lantarón,Álava,36.69
1033IdxD,1033,Lapuebla de Labarca,Álava,25.23
48052IdxD,48052,Larrabetzu,Biscay,25.04
20048IdxD,20048,Larraul,Gipuzkoa,31.25
20902IdxD,20902,Lasarte-Oria,Gipuzkoa,19.14
1036IdxD,1036,Laudio/Llodio,Álava,26.28
48053IdxD,48053,Laukiz,Biscay,44.15
20049IdxD,20049,Lazkao,Gipuzkoa,19.75
20050IdxD,20050,Leaburu,Gipuzkoa,29.49
20051IdxD,20051,Legazpi,Gipuzkoa,21.62
20052IdxD,20052,Legorreta,Gipuzkoa,30.91
1058IdxD,1058,Legutio,Álava,40.94
20068IdxD,20068,Leintz-Gatzaga,Gipuzkoa,30.43
48054IdxD,48054,Leioa,Biscay,31.88
48057IdxD,48057,Lekeitio,Biscay,23.08
48055IdxD,48055,Lemoa,Biscay,41.06
48056IdxD,48056,Lemoiz,Biscay,28.7
1034IdxD,1034,Leza,Álava,40.54
48081IdxD,48081,Lezama,Biscay,34.45
20053IdxD,20053,Lezo,Gipuzkoa,37.15
20054IdxD,20054,Lizartza,Gipuzkoa,15.41
48903IdxD,48903,Loiu,Biscay,96.28
48058IdxD,48058,Mallabia,Biscay,38.82
48060IdxD,48060,Markina-Xemein,Biscay,25.25
48061IdxD,48061,Maruri-Jatabe,Biscay,39.4
48059IdxD,48059,Mañaria,Biscay,28.9
20901IdxD,20901,Mendaro,Gipuzkoa,21.86
48062IdxD,48062,Mendata,Biscay,17.28
48063IdxD,48063,Mendexa,Biscay,19.52
48064IdxD,48064,Meñaka,Biscay,33.47
1039IdxD,1039,Moreda de Álava / Moreda Araba,Álava,38.02
48066IdxD,48066,Morga,Biscay,54.59
48068IdxD,48068,Mundaka,Biscay,61.26
48069IdxD,48069,Mungia,Biscay,31.27
48007IdxD,48007,Munitibar-Arbatzegi Gerrikaitz-,Biscay,44.49
48908IdxD,48908,Murueta,Biscay,57.32
48071IdxD,48071,Muskiz,Biscay,52.82
20057IdxD,20057,Mutiloa,Gipuzkoa,28.23
20056IdxD,20056,Mutriku,Gipuzkoa,26.16
48067IdxD,48067,Muxika,Biscay,49.9
48909IdxD,48909,Nabarniz,Biscay,24.1
1041IdxD,1041,Navaridas,Álava,23.7
20063IdxD,20063,Oiartzun,Gipuzkoa,45.2
1042IdxD,1042,Okondo,Álava,43.44
20058IdxD,20058,Olaberria,Gipuzkoa,50.32
48073IdxD,48073,Ondarroa,Biscay,29.03
20076IdxD,20076,Ordizia,Gipuzkoa,28.42
20905IdxD,20905,Orendain,Gipuzkoa,45.87
20060IdxD,20060,Orexa,Gipuzkoa,9.17
20061IdxD,20061,Orio,Gipuzkoa,19.77
20062IdxD,20062,Ormaiztegi,Gipuzkoa,27.69
48075IdxD,48075,Orozko,Biscay,29.83
48083IdxD,48083,Ortuella,Biscay,33.19
48072IdxD,48072,Otxandio,Biscay,35.53
