ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
48001IdxD,48001,Abadiño,https://www.wikidata.org/wiki/Q744893,Biscay,https://www.wikidata.org/wiki/Q93366,41.1
20001IdxD,20001,Abaltzisketa,https://www.wikidata.org/wiki/Q1598962,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,57.88
48002IdxD,48002,Abanto y Ciérbana-Abanto Zierbena,https://www.wikidata.org/wiki/Q1242411,Biscay,https://www.wikidata.org/wiki/Q93366,36.81
20002IdxD,20002,Aduna,https://www.wikidata.org/wiki/Q576753,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,83.16
20016IdxD,20016,Aia,https://www.wikidata.org/wiki/Q1631163,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,28.37
20003IdxD,20003,Aizarnazabal,https://www.wikidata.org/wiki/Q1625876,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,20.78
48911IdxD,48911,Ajangiz,https://www.wikidata.org/wiki/Q1228043,Biscay,https://www.wikidata.org/wiki/Q93366,26.49
20004IdxD,20004,Albiztur,https://www.wikidata.org/wiki/Q1639421,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,30.2
20005IdxD,20005,Alegia,https://www.wikidata.org/wiki/Q1639961,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,36.52
1001IdxD,1001,Alegría-Dulantzi,https://www.wikidata.org/wiki/Q1330796,Álava,https://www.wikidata.org/wiki/Q81801,34.52
20006IdxD,20006,Alkiza,https://www.wikidata.org/wiki/Q650223,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,22.92
48912IdxD,48912,Alonsotegi,https://www.wikidata.org/wiki/Q927978,Biscay,https://www.wikidata.org/wiki/Q93366,39.53
20906IdxD,20906,Altzaga,https://www.wikidata.org/wiki/Q1639435,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,11.3
20007IdxD,20007,Altzo,https://www.wikidata.org/wiki/Q1639371,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,50.89
20008IdxD,20008,Amezketa,https://www.wikidata.org/wiki/Q942106,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,22.73
48003IdxD,48003,Amorebieta-Etxano,https://www.wikidata.org/wiki/Q474080,Biscay,https://www.wikidata.org/wiki/Q93366,19.99
48004IdxD,48004,Amoroto,https://www.wikidata.org/wiki/Q427240,Biscay,https://www.wikidata.org/wiki/Q93366,21.9
1002IdxD,1002,Amurrio,https://www.wikidata.org/wiki/Q481760,Álava,https://www.wikidata.org/wiki/Q81801,21.13
20009IdxD,20009,Andoain,https://www.wikidata.org/wiki/Q1598976,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,19.63
20010IdxD,20010,Anoeta,https://www.wikidata.org/wiki/Q1640537,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,28.01
20011IdxD,20011,Antzuola,https://www.wikidata.org/wiki/Q1625886,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,22.65
48005IdxD,48005,Arakaldo,https://www.wikidata.org/wiki/Q971263,Biscay,https://www.wikidata.org/wiki/Q93366,58.82
20012IdxD,20012,Arama,https://www.wikidata.org/wiki/Q1625902,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,78.05
1003IdxD,1003,Aramaio,https://www.wikidata.org/wiki/Q976743,Álava,https://www.wikidata.org/wiki/Q81801,18.15
48006IdxD,48006,Arantzazu,https://www.wikidata.org/wiki/Q1228124,Biscay,https://www.wikidata.org/wiki/Q93366,27.3
48093IdxD,48093,Areatza,https://www.wikidata.org/wiki/Q1228114,Biscay,https://www.wikidata.org/wiki/Q93366,24.92
20013IdxD,20013,Aretxabaleta,https://www.wikidata.org/wiki/Q935603,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,15.64
1006IdxD,1006,Armiñón,https://www.wikidata.org/wiki/Q1113519,Álava,https://www.wikidata.org/wiki/Q81801,40.18
1037IdxD,1037,Arraia-Maeztu,https://www.wikidata.org/wiki/Q1369040,Álava,https://www.wikidata.org/wiki/Q81801,22.25
48009IdxD,48009,Arrankudiaga,https://www.wikidata.org/wiki/Q670080,Biscay,https://www.wikidata.org/wiki/Q93366,33.5
20055IdxD,20055,Arrasate/Mondragón,https://www.wikidata.org/wiki/Q491922,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,19.04
48914IdxD,48914,Arratzu,https://www.wikidata.org/wiki/Q1228784,Biscay,https://www.wikidata.org/wiki/Q93366,33.98
1008IdxD,1008,Arratzua-Ubarrundia,https://www.wikidata.org/wiki/Q1368923,Álava,https://www.wikidata.org/wiki/Q81801,73.47
48010IdxD,48010,Arrieta,https://www.wikidata.org/wiki/Q699830,Biscay,https://www.wikidata.org/wiki/Q93366,44.4
48011IdxD,48011,Arrigorriaga,https://www.wikidata.org/wiki/Q283607,Biscay,https://www.wikidata.org/wiki/Q93366,29.03
48023IdxD,48023,Artea,https://www.wikidata.org/wiki/Q1242330,Biscay,https://www.wikidata.org/wiki/Q93366,29.93
48008IdxD,48008,Artzentales,https://www.wikidata.org/wiki/Q677615,Biscay,https://www.wikidata.org/wiki/Q93366,40.46
1004IdxD,1004,Artziniega,https://www.wikidata.org/wiki/Q587131,Álava,https://www.wikidata.org/wiki/Q81801,33.39
1009IdxD,1009,Asparrena,https://www.wikidata.org/wiki/Q1368957,Álava,https://www.wikidata.org/wiki/Q81801,39.1
20014IdxD,20014,Asteasu,https://www.wikidata.org/wiki/Q1619436,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,34.44
20903IdxD,20903,Astigarraga,https://www.wikidata.org/wiki/Q1639355,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,26.22
20015IdxD,20015,Ataun,https://www.wikidata.org/wiki/Q1619442,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,16.79
48091IdxD,48091,Atxondo,https://www.wikidata.org/wiki/Q1242393,Biscay,https://www.wikidata.org/wiki/Q93366,24.66
48070IdxD,48070,Aulesti,https://www.wikidata.org/wiki/Q4472,Biscay,https://www.wikidata.org/wiki/Q93366,12.23
1010IdxD,1010,Ayala/Aiara,https://www.wikidata.org/wiki/Q1368772,Álava,https://www.wikidata.org/wiki/Q81801,36.85
20017IdxD,20017,Azkoitia,https://www.wikidata.org/wiki/Q793934,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,16.62
20018IdxD,20018,Azpeitia,https://www.wikidata.org/wiki/Q180611,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,14.93
1049IdxD,1049,Añana,https://www.wikidata.org/wiki/Q1113405,Álava,https://www.wikidata.org/wiki/Q81801,28.25
48012IdxD,48012,Bakio,https://www.wikidata.org/wiki/Q804466,Biscay,https://www.wikidata.org/wiki/Q93366,39.94
20904IdxD,20904,Baliarrain,https://www.wikidata.org/wiki/Q385872,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,12.5
