DISTRITO,URI,ID,AdressID,NOMBRE DE VIA,NUMERO DIRECCION,TIPO DE VIA,Adiestramiento,Veterinarios,Peluqueria
Centro,https://wikidata.org/entity/Q1763376,CareCenter_00,CareCenter_00_address,SAN CARLOS,6,CL,false,true,false
Centro,https://wikidata.org/entity/Q1763376,CareCenter_01,CareCenter_01_address,GRAN VIA DE SAN FRANCISCO,9,AV,false,true,false
Centro,https://wikidata.org/entity/Q1763376,CareCenter_02,CareCenter_02_address,SAN BERNARDO,81,CL,false,false,true
Centro,https://wikidata.org/entity/Q1763376,CareCenter_03,CareCenter_03_address,SAN BERNARDO,81,CL,false,false,true
Arganzuela,https://wikidata.org/entity/Q2000929,CareCenter_04,CareCenter_04_address,BOLIVAR,15,CL,false,true,false
Arganzuela,https://wikidata.org/entity/Q2000929,CareCenter_05,CareCenter_05_address,GASOMETRO,5,CL,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_06,CareCenter_06_address,SECO,5,CL,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_07,CareCenter_07_address,REINA CRISTINA,11,PO,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_08,CareCenter_08_address,GRANADA,21,CL,false,true,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_09,CareCenter_09_address,GRANADA,21,CL,true,false,false
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_010,CareCenter_010_address,ANDRES TORREJON,18,CL,false,false,true
Retiro,https://wikidata.org/entity/Q2002296,CareCenter_011,CareCenter_011_address,ANDRES TORREJON,18,CL,false,false,true
Tetuán,https://wikidata.org/entity/Q1773540,CareCenter_012,CareCenter_012_address,BRAVO MURILLO,194,CL,false,false,true
Tetuán,https://wikidata.org/entity/Q1773540,CareCenter_013,CareCenter_013_address,BARON DEL CASTILLO DE CHIREL,5,CL,false,true,false
Tetuán,https://wikidata.org/entity/Q1773540,CareCenter_014,CareCenter_014_address,DOCTOR MARIANI,8,CL,false,false,true
