ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"1118924";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"437855.77";"4475632.61";"ETRS89";40.42901050;-3.73263003;"CALLE";"RIBERA DEL MANZANARES";"123";"28008";"FUENTE DE LA COLONIA MANZANARES  (FUENTE DE LA TEJA Y EL SOPAPO)";"11051714";"2017-04-27 00:00:00.0";"FUE_09_0119";"FUE22";"VP";"PERSONAS";"PATRIMONIO_HISTORICO"
"3530207";"Fuentes de beber";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"448695.16";"4482723.21";"ETRS89";40.49362587;-3.60542308;"CALLE";"JULIO CANO LASSO";"47";"28055";"CONECTOR JORDI SOLE TURA";"31040778";"2017-05-16 00:00:00.0";"FUE_16_0152";"FUE22";"ZV";"PERSONAS";"MU-37A"
"3530621";"Fuentes de beber";"113";"SAN ISIDRO";"11";"CARABANCHEL";"OPERATIVO";"438194.03";"4471508.96";"ETRS89";40.39188807;-3.72824197;"CALLE";"OROYA";"3";"28019";"ALGORTA";"20003215";"2017-03-22 00:00:00.0";"FUE_11_0128";"FUE22";"ZV";"PERSONAS";"MU-37A"
"3531365";"Fuentes de beber";"087";"MIRASIERRA";"08";"FUENCARRAL-EL PARDO";"OPERATIVO";"438842.224";"4483134.84";"ETRS89";40.49666643;-3.72172440;"CALLE";"MARIA DE MAEZTU";"148";"28049";;"31049966";;"FUE_08_0147";"FUE22";"ZV";"PERSONAS";"EGEA"
"3531367";"Fuentes de beber";"087";"MIRASIERRA";"08";"FUENCARRAL-EL PARDO";"OPERATIVO";"438722.367";"4482907.29";"ETRS89";40.49460774;-3.72311672;"CALLE";"MARIA DE MAEZTU";"120";"28049";"JUNTO A JUEGOS MAYORES";"31050035";;"FUE_08_0148";"FUE22";"ZV";"PERSONAS";"EGEA"
"3531372";"Fuentes de beber";"087";"MIRASIERRA";"08";"FUENCARRAL-EL PARDO";"OPERATIVO";"438584.784";"4482766.8";"ETRS89";40.49333200;-3.72472655;"CALLE";"SENDA DEL INFANTE";"54";"28049";"C/V CALLE SENDA DEL INFANTE";"31037710";;"FUE_08_0149";"FUE22";"ZV";"PERSONAS";"EGEA"
"3531377";"Fuentes de beber";"084";"EL PILAR";"08";"FUENCARRAL-EL PARDO";"OPERATIVO";"440043.598";"4480524.799";"ETRS89";40.47324191;-3.70730113;"AVENIDA";"EL FERROL";"35";"28029";"CALLE RIBADAVIA 45";"11046306";;"FUE_08_0152";"FUE22";"ZV";"PERSONAS";"MU-37A"
"3531398";"Fuentes de beber";"093";"CIUDAD UNIVERSITARIA";"09";"MONCLOA-ARAVACA";"OPERATIVO";"439459.51";"4478045.57";"ETRS89";40.45086570;-3.71395457;"PASEO";"JUAN XXIII";"21";"28040";;"31014661";"2018-03-07 00:00:00.0";"FUE_09_0120";"FUE22";"ZV";"PERSONAS";"MU-37A"
"3558557";"Fuentes de beber";"166";"VALDEFUENTES";"16";"HORTALEZA";"OPERATIVO";"448618.65";"4482199.06";"ETRS89";40.48889931;-3.60628339;"CALLE";"ESTANISLAO PEREZ PITA";"70";"28055";"C/V C/ GUSTAVO PÉREZ PUIG";"31063044";;"FUE_16_0173";"FUE22";"ZV";"PERSONAS";"MU-37A"
"3568640";"Fuentes de beber";"102";"PUERTA DEL ANGEL";"10";"LATINA";"OPERATIVO";"438538.17";"4473705.18";"ETRS89";40.41169809;-3.72439943;"CALLE";"PABLO CASALS";"2";"28011";"CV CALLE JUAN  TORNERO";"11060052";"2017-10-16 00:00:00.0";"FUE_10_0110";"FUE22";"VP";"PERSONAS";"MU-37B"
"3568799";"Fuentes de beber";"152";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"OPERATIVO";"445907.19";"4475578.89";"ETRS89";40.42908908;-3.63771174;"CALLE";"LUIS RUIZ";"48";"28017";"EN TRAMO PEATONAL GREGORIO DONAS";"31030631";"2017-09-18 00:00:00.0";"FUE_15_0121";"FUE22";"VP";"PERSONAS";"MU-S37A"
"3568802";"Fuentes de beber";"153";"QUINTANA";"15";"CIUDAD LINEAL";"OPERATIVO";"444726.65";"4476271.89";"ETRS89";40.43525439;-3.65168880;"CALLE";"VIRGEN DE LLUC";"42";"28027";"PARQUE CALERO, JUNTO ÁREA CANINA";"11109420";"2017-10-13 00:00:00.0";"FUE_15_0123";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"3569053";"Fuentes de beber";"043";"FUENTE DEL BERRO";"04";"SALAMANCA";"OPERATIVO";"443585.18";"4475363.43";"ETRS89";40.42699387;-3.66506558;"CALLE";"RUFINO BLANCO";"27";"28028";"CALLE RAMON AGUINAGA 2";"31034502";"2017-10-26 00:00:00.0";"FUE_04_0040";"FUE22";"ZV";"PERSONAS";"MU-37A"
"3570475";"Fuentes de beber";"136";"NUMANCIA";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444334.78";"4472631.59";"ETRS89";40.40243441;-3.65599017;"CALLE";"MARUJA GARCIA ROMERO";"14";"28038";;"31001905";"2016-12-05 00:00:00.0";"FUE_13_0153";"FUE22";"VP";"PERSONAS";"MU-S37A"
"3576057";"Fuentes de beber";"046";"CASTELLANA";"04";"SALAMANCA";"OPERATIVO";"441859";"4476052.63";"ETRS89";40.43308367;-3.68547693;"CALLE";"CLAUDIO COELLO";"121";"28006";"cv C/ JUAN BRAVO";"11019823";"2017-11-16 00:00:00.0";"FUE_04_0041";"FUE22";"VP";"PERSONAS";"FUENTE_ACCESIBLE"
"3576059";"Fuentes de beber";"124";"ALMENDRALES";"12";"USERA";"OPERATIVO";"440999.91";"4470330.46";"ETRS89";40.38147499;-3.69507431;"CALLE";"ANTONIO LOPEZ";"221";"28026";"C/V AÑAFIL";"11083665";"2017-11-16 00:00:00.0";"FUE_12_0067";"FUE22";"ZV";"PERSONAS";"MU-37A"
