?ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;UBICACION;USO;MODELO
1118921;43;FUENTE DEL BERRO;4;SALAMANCA;OPERATIVO;443881,34;4475590,91;40,42906316;-3,6615945;PLAZA;AMERICA ESPAÑOLA;5;28028;Entrada PARQUE SANCHO DÁVILA;31047835;2017-04-27;FUE_04_0039;ZV;MASCOTAS;BEBEDERO TERRIER
5154625;83;PEÑAGRANDE;8;FUENCARRAL - EL PARDO;OPERATIVO;438845,032;4480387,121;40,47191427;-3,7214262;CALLE;JOAQUIN LORENZO;5 B;28035;PARQUE ENTRE C/VALLE DE MENA Y JOAQUÍN LORENZO;31009888;2019-06-26;FUE_08_0169;ZV;PERSONAS_Y_MASCOTAS;MIXTA TERRIER
5216235;193;VALDERRIVAS;19;VICALVARO;OPERATIVO;448541,28;4471642,73;40,39379669;-3,60634123;AVENIDA;DE LAS COMUNIDADES;161;28032;ZV POSTERIOR C/ MINERVA Nº157;20180442;2019-11-28;FUE_19_0143;ZV;PERSONAS_Y_MASCOTAS;MIXTA TERRIER
5219912;72;ARAPILES;7;CHAMBERI;OPERATIVO;439733,47;4476105,84;40,43341171;-3,71053998;CALLE;GALILEO;35;28015;Parque José Luis Sampedro;31044128;2019-12-26;FUE_07_0032;ZV;MASCOTAS;BEBEDERO TERRIER
5220275;127;PRADOLONGO;12;USERA;OPERATIVO;439845,78;4469898,55;40,3775016;-3,70862926;CALLE;CRISTO DE LA VICTORIA;245;28026;PARQUE DE PRADOLONGO;31028698;2023-06-16;FUE_12_0075;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
3568802;153;QUINTANA;15;CIUDAD LINEAL;OPERATIVO;444726,65;4476271,89;40,43525439;-3,6516888;CALLE;VIRGEN DE LLUC;42;28027;PARQUE CALERO, JUNTO ÁREA CANINA;11109420;2017-10-13;FUE_15_0123;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5108929;12;EMBAJADORES;1;CENTRO;OPERATIVO;440133,39;4473044,21;40,40586001;-3,70553708;RONDA;TOLEDO;9;28005;Parque Casino de la Reina;20150618;2019-05-24;FUE_01_0063;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5109125;12;EMBAJADORES;1;CENTRO;OPERATIVO;440116,53;4473053,82;40,40594537;-3,70573667;RONDA;TOLEDO;7;28005;Parque Casino de la Reina;11001954;2019-05-24;FUE_01_0064;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5212696;101;LOS CARMENES;10;LATINA;OPERATIVO;437606,1;4472480,1;40,4005927;-3,735264;AVENIDA;ANGEL SANZ BRIZ;4;28047;CERCA DE AREA CANINA;31067192;2023-07-07;FUE_10_0116;ZV;MASCOTAS;BEBEDERO TERRIER
5220281;127;PRADOLONGO;12;USERA;OPERATIVO;440148,01;4469911,53;40,37764029;-3,7050704;CALLE;CRISTO DE LA VICTORIA;199;28026;JUNTO JARDIN BOTÁNICO;11085922;2023-06-26;FUE_12_0077;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
5220283;127;PRADOLONGO;12;USERA;OPERATIVO;440330,58;4469741,16;40,3761186;-3,70290388;CALLE;DOCTOR TOLOSA LATOUR;14 B;28026;JUNTO PISTAS DEPORTIVAS;31070728;2023-06-30;FUE_12_0078;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
5220287;127;PRADOLONGO;12;USERA;OPERATIVO;439997,78;4469323,21;40,37232959;-3,70678463;AVENIDA;POBLADOS;167;28041;AV POBLADOS 146 JUNTO GASOLINERA;31007158;2020-01-10;FUE_12_0079;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
529529;33;ESTRELLA;3;RETIRO;OPERATIVO;443835,69;4474016,74;40,4148791;-3,66199361;CALLE;JUAN ESPLANDIU;4;28007;ÁREA CANINA DEL PARQUE DE ROMA;11013635;;FUE_03_0005;ZV;MASCOTAS;BEBEDERO NEPTUNO
529791;97;ARAVACA;9;MONCLOA-ARAVACA;OPERATIVO;434095,49;4478300,38;40,45275312;-3,77723365;CALLE;ARROYO DE POZUELO;71;28023;CERCANA AL ÁREA INFANTIL;31005603;;FUE_09_0025;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
530022;152;PUEBLO NUEVO;15;CIUDAD LINEAL;OPERATIVO;445869,12;4474867,69;40,4226797;-3,63809998;AVENIDA;DAROCA;99;28017;PARQUE LOS TILOS II JUNTO ÁREA CANINA;20117847;;FUE_15_0098;ZV;PERSONAS_Y_MASCOTAS;MIXTA NEPTUNO
5242892;102;PUERTA DEL ANGEL;10;LATINA;OPERATIVO;437432,65;4473211,21;40,40716583;-3,73737969;PLAZA;PATRIARCA EIJO Y GARAY;2;28011;JUNTO ZONA INFANTIL;11062431;2020-01-14;FUE_10_0117;ZV;PERSONAS_Y_MASCOTAS;MIXTA TERRIER
529399;15;UNIVERSIDAD;1;CENTRO;OPERATIVO;440248,16;4475384,04;40,42694655;-3,70440439;CALLE;DOS DE MAYO;1;28004;Plaza Dos de Mayo;11006199;;FUE_01_0020;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
529792;97;ARAVACA;9;MONCLOA-ARAVACA;OPERATIVO;434197,82;4478382,06;40,45349702;-3,77603541;CALLE;VIRGEN DE LOS ROSALES;44;28023;CERCANA A LAS PISTAS DE PETANCA;20125597;;FUE_09_0026;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
530057;152;PUEBLO NUEVO;15;CIUDAD LINEAL;OPERATIVO;445616,28;4476178,67;40,43447326;-3,64119246;CALLE;GOMEZ DE AVELLANEDA;37;28017;CV CALLE VICENTE ESPINEL;11107884;;FUE_15_0112;VP;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
530299;205;ROSAS;20;SAN BLAS - CANILLEJAS;OPERATIVO;448527,6;4475657,32;40,42996189;-3,6068272;AVENIDA;NIZA;37;28022;PRÓXIMO JULIA GRACIA BOUTAN ÁREA CANINA;20096820;2023-08-10;FUE_20_0094;ZV;PERSONAS_Y_MASCOTAS;MIXTA ESTELA
530402;135;PORTAZGO;13;PUENTE DE VALLECAS;OPERATIVO;445017,72;4470827,56;40,38622798;-3,64778675;CALLE;TANGER;2;28018;En zona canina Parque C/ Tánger, 2 cv C/Guillermo Pingarrón;11098053;;FUE_13_0090;ZV;MASCOTAS;BEBEDERO CANINO
