ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"3568802";"Fuentes de beber";"153";"QUINTANA";"15";"CIUDAD LINEAL";"OPERATIVO";"444726.65";"4476271.89";"ETRS89";40.43525439;-3.65168880;"CALLE";"VIRGEN DE LLUC";"42";"28027";"PARQUE CALERO, JUNTO ÁREA CANINA";"11109420";"2017-10-13 00:00:00.0";"FUE_15_0123";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"5108929";"Fuentes de beber";"012";"EMBAJADORES";"01";"CENTRO";"OPERATIVO";"440133.39";"4473044.21";"ETRS89";40.40586001;-3.70553708;"RONDA";"TOLEDO";"9";"28005";"Parque Casino de la Reina";"20150618";"2019-05-24 00:00:00.0";"FUE_01_0063";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"5109125";"Fuentes de beber";"012";"EMBAJADORES";"01";"CENTRO";"OPERATIVO";"440116.53";"4473053.82";"ETRS89";40.40594537;-3.70573667;"RONDA";"TOLEDO";"7";"28005";"Parque Casino de la Reina";"11001954";"2019-05-24 00:00:00.0";"FUE_01_0064";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA NEPTUNO"
"5212696";"Fuentes de beber";"101";"LOS CARMENES";"10";"LATINA";"OPERATIVO";"437606.10";"4472480.10";"ETRS89";40.40059270;-3.73526400;"AVENIDA";"ANGEL SANZ BRIZ";"4";"28047";"CERCA DE AREA CANINA";"31067192";"2023-07-07 00:00:00.0";"FUE_10_0116";"FUE22";"ZV";"MASCOTAS";"BEBEDERO TERRIER"
"5220281";"Fuentes de beber";"127";"PRADOLONGO";"12";"USERA";"OPERATIVO";"440148.01";"4469911.53";"ETRS89";40.37764029;-3.70507040;"CALLE";"CRISTO DE LA VICTORIA";"199";"28026";"JUNTO JARDIN BOTÁNICO";"11085922";"2023-06-26 00:00:00.0";"FUE_12_0077";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"1118921";"Fuentes de beber";"043";"FUENTE DEL BERRO";"04";"SALAMANCA";"OPERATIVO";"443881.34";"4475590.91";"ETRS89";40.42906316;-3.66159450;"PLAZA";"AMERICA ESPAÑOLA";"5";"28028";"Entrada PARQUE SANCHO DÁVILA";"31047835";"2017-04-27 00:00:00.0";"FUE_04_0039";"FUE22";"ZV";"MASCOTAS";"BEBEDERO TERRIER"
"5154625";"Fuentes de beber";"083";"PEÑAGRANDE";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"438845.032";"4480387.121";"ETRS89";40.47191427;-3.72142620;"CALLE";"JOAQUIN LORENZO";"5 B";"28035";"PARQUE ENTRE C/VALLE DE MENA Y JOAQUÍN LORENZO";"31009888";"2019-06-26 00:00:00.0";"FUE_08_0169";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA TERRIER"
"5216235";"Fuentes de beber";"193";"VALDERRIVAS";"19";"VICALVARO";"OPERATIVO";"448541.28";"4471642.73";"ETRS89";40.39379669;-3.60634123;"AVENIDA";"DE LAS COMUNIDADES";"161";"28032";"ZV POSTERIOR C/ MINERVA Nº157";"20180442";"2019-11-28 00:00:00.0";"FUE_19_0143";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA TERRIER"
"5219912";"Fuentes de beber";"072";"ARAPILES";"07";"CHAMBERI";"OPERATIVO";"439733.47";"4476105.84";"ETRS89";40.43341171;-3.71053998;"CALLE";"GALILEO";"35";"28015";"Parque José Luis Sampedro";"31044128";"2019-12-26 00:00:00.0";"FUE_07_0032";"FUE22";"ZV";"MASCOTAS";"BEBEDERO TERRIER"
"5220275";"Fuentes de beber";"127";"PRADOLONGO";"12";"USERA";"OPERATIVO";"439845.78";"4469898.55";"ETRS89";40.37750160;-3.70862926;"CALLE";"CRISTO DE LA VICTORIA";"245";"28026";"PARQUE DE PRADOLONGO";"31028698";"2023-06-16 00:00:00.0";"FUE_12_0075";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"5242892";"Fuentes de beber";"102";"PUERTA DEL ANGEL";"10";"LATINA";"OPERATIVO";"437432.65";"4473211.21";"ETRS89";40.40716583;-3.73737969;"PLAZA";"PATRIARCA EIJO Y GARAY";"2";"28011";"JUNTO ZONA INFANTIL";"11062431";"2020-01-14 00:00:00.0";"FUE_10_0117";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA TERRIER"
"529399";"Fuentes de beber";"015";"UNIVERSIDAD";"01";"CENTRO";"OPERATIVO";"440248.16";"4475384.04";"ETRS89";40.42694655;-3.70440439;"CALLE";"DOS DE MAYO";"1";"28004";"Plaza Dos de Mayo";"11006199";;"FUE_01_0020";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"529792";"Fuentes de beber";"097";"ARAVACA";"09";"MONCLOA-ARAVACA";"OPERATIVO";"434197.82";"4478382.06";"ETRS89";40.45349702;-3.77603541;"CALLE";"VIRGEN DE LOS ROSALES";"44";"28023";"CERCANA A LAS PISTAS DE PETANCA";"20125597";;"FUE_09_0026";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"530057";"Fuentes de beber";"152";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"OPERATIVO";"445616.28";"4476178.67";"ETRS89";40.43447326;-3.64119246;"CALLE";"GOMEZ DE AVELLANEDA";"37";"28017";"CV CALLE VICENTE ESPINEL";"11107884";;"FUE_15_0112";"FUE22";"VP";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"530299";"Fuentes de beber";"205";"ROSAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"448527.60";"4475657.32";"ETRS89";40.42996189;-3.60682720;"AVENIDA";"NIZA";"37";"28022";"PRÓXIMO JULIA GRACIA BOUTAN ÁREA CANINA";"20096820";"2023-08-10 00:00:00.0";"FUE_20_0094";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"5220283";"Fuentes de beber";"127";"PRADOLONGO";"12";"USERA";"OPERATIVO";"440330.58";"4469741.16";"ETRS89";40.37611860;-3.70290388;"CALLE";"DOCTOR TOLOSA LATOUR";"14 B";"28026";"JUNTO PISTAS DEPORTIVAS";"31070728";"2023-06-30 00:00:00.0";"FUE_12_0078";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
"5220287";"Fuentes de beber";"127";"PRADOLONGO";"12";"USERA";"OPERATIVO";"439997.78";"4469323.21";"ETRS89";40.37232959;-3.70678463;"AVENIDA";"POBLADOS";"167";"28041";"AV POBLADOS 146 JUNTO GASOLINERA";"31007158";"2020-01-10 00:00:00.0";"FUE_12_0079";"FUE22";"ZV";"PERSONAS_Y_MASCOTAS";"MIXTA ESTELA"
