ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;MODELO
"464189";"Papelera";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"445565.38";"4471684.98";"ETRS89";40.39398812;-3.64140803;"CALLE";"BENJAMIN PALENCIA";"76";"28038";"CALLE DE BENJAMIN PALENCIA,76";"11096851";"2010-05-21 00:00:00.0";"223120";"5PPL";"VIARIO";"50_LTS_EX"
"464182";"Papelera";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"445284.27";"4471066.18";"ETRS89";40.38839517;-3.64466701;"AVENIDA";"PABLO NERUDA";"48";"28038";"AVENIDA DE PABLO NERUDA,48";"11097157";"2010-05-21 00:00:00.0";"223113";"5PPL";"VIARIO";"50_LTS_EX"
"464248";"Papelera";"206";"REJAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"449543.58";"4477545.06";"ETRS89";40.44703009;-3.59499996;"CALLE";"OCHO";"7";"28022";"CALLE OCHO,7";"11137004";"2010-05-21 00:00:00.0";"223187";"5PPL";"VIARIO";"50_LTS_EX"
"464263";"Papelera";"206";"REJAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"449608.21";"4477623.00";"ETRS89";40.44773614;-3.59424404;"AVENIDA";"SEGUNDA";"4";"28022";"AVENIDA SEGUNDA,4";"31004092";"2010-05-21 00:00:00.0";"223203";"5PPL";"VIARIO";"50_LTS_EX"
"464232";"Papelera";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444874.63";"4471758.07";"ETRS89";40.39460113;-3.64955303;"CALLE";"BENJAMIN PALENCIA";"16";"28038";"CALLE DE BENJAMIN PALENCIA,16";"11098327";"2010-05-21 00:00:00.0";"223170";"5PPL";"VIARIO";"50_LTS_EX"
"464282";"Papelera";"206";"REJAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"449447.61";"4477273.42";"ETRS89";40.44457716;-3.59610999;"AVENIDA";"QUINTA";"26";"28022";"AVENIDA QUINTA,26";"11137125";"2010-05-21 00:00:00.0";"223224";"5PPL";"VIARIO";"50_LTS_EX"
"464168";"Papelera";"162";"PIOVERA";"16";"HORTALEZA";"OPERATIVO";"446788.740";"4478807.393";"ETRS89";40.45823012;-3.62759000;"CALLE";"JOSE RIZAL";"101";"28043";"CALLE DE JOSE RIZAL,101";"20053637";"2010-05-21 00:00:00.0";"223099";"5PPL";"VIARIO";"50_LTS_EX"
"464334";"Papelera";"206";"REJAS";"20";"SAN BLAS - CANILLEJAS";"OPERATIVO";"451314.40";"4477430.11";"ETRS89";40.44610014;-3.57411003;"CALLE";"FUEMBELLIDA";"35";"28022";"CALLE DE FUEMBELLIDA,35";"20162868";"2010-05-21 00:00:00.0";"223278";"5PPL";"VIARIO";"50_LTS_EX"
"464436";"Papelera";"136";"NUMANCIA";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444387.28";"4472717.53";"ETRS89";40.40321211;-3.65537903;"CALLE";"MARISMAS";"2";"28038";"CALLE DE LAS MARISMAS,2";"11099276";"2010-05-21 00:00:00.0";"223390";"5PPL";"VIARIO";"50_LTS_EX"
"464557";"Papelera";"136";"NUMANCIA";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444298.16";"4472772.03";"ETRS89";40.40369712;-3.65643398;"CALLE";"PEÑA LABRA";"12";"28038";"CALLE DE LA PEÑA LABRA,12";"11099494";"2010-05-21 00:00:00.0";"223521";"5PPL";"VIARIO";"50_LTS_EX"
"464582";"Papelera";"161";"PALOMAS";"16";"HORTALEZA";"OPERATIVO";"447847.875";"4478114.371";"ETRS89";40.45205413;-3.61504199;"CALLE";"GUADALAJARA";"7";"28042";"CALLE DE GUADALAJARA,7";"11113203";"2010-05-24 00:00:00.0";"223549";"5PPL";"VIARIO";"50_LTS_EX"
"464606";"Papelera";"161";"PALOMAS";"16";"HORTALEZA";"OPERATIVO";"448130.41";"4478234.07";"ETRS89";40.45315013;-3.61171995;"CALLE";"ARMONIA";"22";"28042";"CALLE DE LA ARMONIA,22";"11112824";"2010-05-24 00:00:00.0";"223575";"5PPL";"VIARIO";"50_LTS_EX"
"464666";"Papelera";"161";"PALOMAS";"16";"HORTALEZA";"OPERATIVO";"448437.66";"4478151.91";"ETRS89";40.45242910;-3.60808995;"CALLE";"PISUEÑA";"52";"28042";"CALLE DEL PISUEÑA,52";"31055234";"2010-05-24 00:00:00.0";"223641";"5PPL";"VIARIO";"50_LTS_EX"
"464669";"Papelera";"161";"PALOMAS";"16";"HORTALEZA";"OPERATIVO";"448461.89";"4478099.68";"ETRS89";40.45196008;-3.60779997;"CALLE";"MAESTRA FELISA LOZANO";"13";"28042";"CALLE DE LA MAESTRA FELISA LOZANO,13";"20126189";"2010-05-24 00:00:00.0";"223644";"5PPL";"VIARIO";"50_LTS_EX"
"464688";"Papelera";"136";"NUMANCIA";"13";"PUENTE DE VALLECAS";"OPERATIVO";"443555.33";"4472450.23";"ETRS89";40.40074814;-3.66515898;"CAMINO";"VALDERRIBAS";"37 A";"28038";"CAMINO DE VALDERRIBAS,37 A";"20108461";"2010-05-24 00:00:00.0";"223664";"5PPL";"VIARIO";"50_LTS_EX"
