ID,ID_ADRESS,DISTRITO ID,DISTRITO,DISTRITO-LINKS,BARRIO ID,BARRIO,BARRIO-LINKS,TIPO DE VÍA,NOMBRE DE VÍA,NÚMERO,DOG_GAMES,"ESTADO,C,50"
7243273,7243273_adress,07,Chamberí,https://wikidata.org/entity/Q1763370,076,Vallehermoso,https://wikidata.org/entity/Q6122685,CALLE,CEA BERMUDEZ,2,5,ACTIVO
5237097,5237097_adress,16,Hortaleza,https://wikidata.org/entity/Q1928529,166,Valdefuentes,https://wikidata.org/entity/Q10388714,AVENIDA,Avenida de las Fuerzas Armadas,11,1,ACTIVO
5003498,5003498_adress,06,Tetuán,https://wikidata.org/entity/Q1773540,062,Cuatro Caminos,https://wikidata.org/entity/Q5824684,CALLE,GENERAL RAMIREZ DE MADRID,2,1,ACTIVO
3570068,3570068_adress,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,159,Costillares,https://wikidata.org/entity/Q331385,CALLE,CALERUEGA,28,1,ACTIVO
3570069,3570069_adress,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,152,Pueblo Nuevo,https://wikidata.org/entity/Q71753,CALLE,NICOLAS SALMERON,3,3,ACTIVO
3570074,3570074_adress,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,152,Pueblo Nuevo,https://wikidata.org/entity/Q71753,CALLE,LUIS RUIZ,27,1,ACTIVO
3570067,3570067_adress,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,152,Pueblo Nuevo,https://wikidata.org/entity/Q71753,CALLE,PEPE ISBERT,11,1,ACTIVO
3570070,3570070_adress,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,151,Ventas,https://wikidata.org/entity/Q71762,AVENIDA,MARQUES DE CORBERA,2,2,ACTIVO
3570072,3570072_adress,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,151,Ventas,https://wikidata.org/entity/Q71762,CALLE,GERARDO CORDON,46,2,ACTIVO
3575532,3575532_adress,16,Hortaleza,https://wikidata.org/entity/Q1928529,165,Apóstol Santiago,https://wikidata.org/entity/Q11906303,CARRETERA,ESTACION DE HORTALEZA,5,4,ACTIVO
3575533,3575533_adress,16,Hortaleza,https://wikidata.org/entity/Q1928529,164,Pinar del Rey,https://wikidata.org/entity/Q10349788,CALLE,MACUAJE,5,3,ACTIVO
3575535,3575535_adress,16,Hortaleza,https://wikidata.org/entity/Q1928529,166,Valdefuentes,https://wikidata.org/entity/Q10388714,AVENIDA,MANOTERAS,34,7,ACTIVO
3575538,3575538_adress,16,Hortaleza,https://wikidata.org/entity/Q1928529,165,Apóstol Santiago,https://wikidata.org/entity/Q11906303,CALLE,MONOVAR,2,1,ACTIVO
3575539,3575539_adress,16,Hortaleza,https://wikidata.org/entity/Q1928529,164,Pinar del Rey,https://wikidata.org/entity/Q10349788,CALLE,SANTA ADELA,14,3,ACTIVO
4996493,4996493_adress,12,Usera,https://wikidata.org/entity/Q953368,121,Orcasitas,https://wikidata.org/entity/Q3773941,CALLE,SEGURA,74,11,ACTIVO
4996495,4996495_adress,11,Carabanchel,https://wikidata.org/entity/Q1001991,114,Vista Alegre,https://wikidata.org/entity/Q3813741,CALLE,PINGÜINO,12,0,ACTIVO
4996497,4996497_adress,12,Usera,https://wikidata.org/entity/Q953368,123,San Fermín (Madrid),https://wikidata.org/entity/Q71758,CALLE,CORINDON,10,0,ACTIVO
4996500,4996500_adress,11,Carabanchel,https://wikidata.org/entity/Q1001991,116,Buenavista,https://wikidata.org/entity/Q953929,CAMINO,CRUCES,58,0,ACTIVO
4996514,4996514_adress,19,Vicálvaro,https://wikidata.org/entity/Q589403,193,Valderrivas,https://wikidata.org/entity/Q43025770,CALLE,MINERVA,161,0,ACTIVO
4996517,4996517_adress,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,Valdebernardo,https://wikidata.org/entity/Q43025212,PLAZA,JUAN ROF CARBALLO,4,0,ACTIVO
4996518,4996518_adress,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,Valdebernardo,https://wikidata.org/entity/Q43025212,CALLE,LADERA DE LOS ALMENDROS,14G,0,ACTIVO
4996520,4996520_adress,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,Valdebernardo,https://wikidata.org/entity/Q43025212,CAMINO,VIEJO DE VICALVARO,16,0,ACTIVO
4996521,4996521_adress,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,Valdebernardo,https://wikidata.org/entity/Q43025212,CALLE,PINILLAS,11,0,ACTIVO
4996523,4996523_adress,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,Valdebernardo,https://wikidata.org/entity/Q43025212,PLAZA,ROSA CHACEL,10,0,ACTIVO
4996524,4996524_adress,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,Valdebernardo,https://wikidata.org/entity/Q43025212,CALLE,LADERA DE LOS ALMENDROS,46,0,ACTIVO
4996525,4996525_adress,19,Vicálvaro,https://wikidata.org/entity/Q589403,192,Valdebernardo,https://wikidata.org/entity/Q43025212,PLAZA,JUAN CARLOS ONETTI,3,0,ACTIVO
4996528,4996528_adress,17,Villaverde,https://wikidata.org/entity/Q919536,173,Butarque,https://wikidata.org/entity/Q390453,AVENIDA,LOS ROSALES,129,0,ACTIVO
4996529,4996529_adress,17,Villaverde,https://wikidata.org/entity/Q919536,174,Los Rosales,https://wikidata.org/entity/Q10319807,CALLE,COALICION,35A,0,ACTIVO
4996533,4996533_adress,11,Carabanchel,https://wikidata.org/entity/Q1001991,114,Vista Alegre,https://wikidata.org/entity/Q3813741,PASEO,MARCELINO CAMACHO,6,0,ACTIVO
4996536,4996536_adress,11,Carabanchel,https://wikidata.org/entity/Q1001991,113,San Isidro,https://wikidata.org/entity/Q3813733,CALLE,FAROLILLO,2,0,ACTIVO
4996537,4996537_adress,11,Carabanchel,https://wikidata.org/entity/Q1001991,112,Opañel,https://wikidata.org/entity/Q3813756,CALLE,PORTALEGRE,28,0,ACTIVO
4996540,4996540_adress,11,Carabanchel,https://wikidata.org/entity/Q1001991,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,CALLE,CONDE DE MORPHY,6,0,ACTIVO
4996548,4996548_adress,14,Moratalaz,https://wikidata.org/entity/Q2076109,146,Vinateros,https://wikidata.org/entity/Q10391533,CALLE,HACIENDA DE PAVONES,209,0,ACTIVO
4996550,4996550_adress,14,Moratalaz,https://wikidata.org/entity/Q2076109,141,Pavones,https://wikidata.org/entity/Q71760,CALLE,VALDEBERNARDO,18B,0,ACTIVO
4996551,4996551_adress,14,Moratalaz,https://wikidata.org/entity/Q2076109,145,Fontarrón,https://wikidata.org/entity/Q10283284,CALLE,ENCOMIENDA DE PALACIOS,170P,0,ACTIVO
4996553,4996553_adress,14,Moratalaz,https://wikidata.org/entity/Q2076109,141,Pavones,https://wikidata.org/entity/Q71760,CALLE,ARROYO FONTARRON,361,0,ACTIVO
4996554,4996554_adress,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,136,Numancia,https://wikidata.org/entity/Q10338144,CALLE,FERNANDO GIRALDEZ,32,0,ACTIVO
4996556,4996556_adress,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,135,Portazgo,https://wikidata.org/entity/Q18005921,CALLE,TANGER,9,0,ACTIVO
4996559,4996559_adress,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,131,Entrevías,https://wikidata.org/entity/Q71756,RONDA,SUR,6D,17,ACTIVO
4996562,4996562_adress,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,133,Palomeras Bajas,https://wikidata.org/entity/Q10343902,CALLE,VIRIDIANA,13F,0,ACTIVO
4996575,4996575_adress,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,134,Palomeras Sureste,https://wikidata.org/entity/Q10343901,CALLE,TROLE,9G,0,ACTIVO
4996578,4996578_adress,11,Carabanchel,https://wikidata.org/entity/Q1001991,115,Puerta Bonita,https://wikidata.org/entity/Q3813762,AVENIDA,ABRANTES,305,0,ACTIVO
4997300,4997300_adress,10,Latina,https://wikidata.org/entity/Q794954,104,Aluche,https://wikidata.org/entity/Q31140,CALLE,VALMOJADO,2,0,ACTIVO
4998027,4998027_adress,12,Usera,https://wikidata.org/entity/Q953368,126,El Zofío,https://wikidata.org/entity/Q71751,CALLE,MARCELO USERA,157,0,ACTIVO
5003401,5003401_adress,07,Chamberí,https://wikidata.org/entity/Q1763370,072,Arapiles,https://wikidata.org/entity/Q10856744,PLAZA,CONDE DEL VALLE DE SUCHIL,1,1,ACTIVO
5003496,5003496_adress,06,Tetuán,https://wikidata.org/entity/Q1773540,062,Cuatro Caminos,https://wikidata.org/entity/Q5824684,CALLE,SAN GERMAN,7,1,ACTIVO
5003499,5003499_adress,06,Tetuán,https://wikidata.org/entity/Q1773540,065,Valdeacederas,https://wikidata.org/entity/Q10388711,CALLE,GABRIEL PORTADALES,11,1,ACTIVO
5003500,5003500_adress,06,Tetuán,https://wikidata.org/entity/Q1773540,064,Almenara,https://wikidata.org/entity/Q2265427,AVENIDA,ASTURIAS,74,1,ACTIVO
5005553,5005553_adress,06,Tetuán,https://wikidata.org/entity/Q1773540,064,Almenara,https://wikidata.org/entity/Q2265427,CALLE,CAÑAVERAL,2,1,ACTIVO
5005554,5005554_adress,06,Tetuán,https://wikidata.org/entity/Q1773540,065,Valdeacederas,https://wikidata.org/entity/Q10388711,CALLE,VEZA,43,1,ACTIVO
5068828,5068828_adress,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,183,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,CALLE,RAYO VALLECANO DE MADRID,119,0,ACTIVO
5107681,5107681_adress,14,Moratalaz,https://wikidata.org/entity/Q2076109,145,Fontarrón,https://wikidata.org/entity/Q10283284,CALLE,MANUEL MARIA ARRILLAGA,26,0,ACTIVO
5003458,5003458_adress,01,Centro,https://wikidata.org/entity/Q1763376,012,Embajadores,https://wikidata.org/entity/Q2449844,CALLE,CASINO,3,0,ACTIVO
4998011,4998011_adress,03,Retiro,https://wikidata.org/entity/Q2002296,032,Adelfas,https://wikidata.org/entity/Q3774001,CALLE,CERRO NEGRO,14,0,ACTIVO
