ID,ID_ADRESS,DISTRITO ID,DISTRITO,BARRIO ID,BARRIO,TIPO DE VÍA,NOMBRE DE VÍA,NÚMERO,DOG_GAMES,"ESTADO,C,50"
7243273,7243273_adress,07,CHAMBERI,076,VALLEHERMOSO,CALLE,CEA BERMUDEZ,2,5,ACTIVO
5237097,5237097_adress,16,HORTALEZA,166,VALDEFUENTES,AVENIDA,Avenida de las Fuerzas Armadas,11,1,ACTIVO
5003498,5003498_adress,06,TETUAN,062,CUATRO CAMINOS,CALLE,GENERAL RAMIREZ DE MADRID,2,1,ACTIVO
3570068,3570068_adress,15,CIUDAD LINEAL,159,COSTILLARES,CALLE,CALERUEGA,28,1,ACTIVO
3570069,3570069_adress,15,CIUDAD LINEAL,152,PUEBLO NUEVO,CALLE,NICOLAS SALMERON,3,3,ACTIVO
3570074,3570074_adress,15,CIUDAD LINEAL,152,PUEBLO NUEVO,CALLE,LUIS RUIZ,27,1,ACTIVO
3570067,3570067_adress,15,CIUDAD LINEAL,152,PUEBLO NUEVO,CALLE,PEPE ISBERT,11,1,ACTIVO
3570070,3570070_adress,15,CIUDAD LINEAL,151,VENTAS,AVENIDA,MARQUES DE CORBERA,2,2,ACTIVO
3570072,3570072_adress,15,CIUDAD LINEAL,151,VENTAS,CALLE,GERARDO CORDON,46,2,ACTIVO
3575532,3575532_adress,16,HORTALEZA,165,APOSTOL SANTIAGO,CARRETERA,ESTACION DE HORTALEZA,5,4,ACTIVO
3575533,3575533_adress,16,HORTALEZA,164,PINAR DEL REY,CALLE,MACUAJE,5,3,ACTIVO
3575535,3575535_adress,16,HORTALEZA,166,VALDEFUENTES,AVENIDA,MANOTERAS,34,7,ACTIVO
3575538,3575538_adress,16,HORTALEZA,165,APOSTOL SANTIAGO,CALLE,MONOVAR,2,1,ACTIVO
3575539,3575539_adress,16,HORTALEZA,164,PINAR DEL REY,CALLE,SANTA ADELA,14,3,ACTIVO
4996493,4996493_adress,12,USERA,121,ORCASITAS,CALLE,SEGURA,74,11,ACTIVO
4996495,4996495_adress,11,CARABANCHEL,114,VISTA ALEGRE,CALLE,PINGÜINO,12,0,ACTIVO
4996497,4996497_adress,12,USERA,123,SAN FERMIN,CALLE,CORINDON,10,0,ACTIVO
4996500,4996500_adress,11,CARABANCHEL,116,BUENAVISTA,CAMINO,CRUCES,58,0,ACTIVO
4996514,4996514_adress,19,VICALVARO,193,VALDERRIVAS,CALLE,MINERVA,161,0,ACTIVO
4996517,4996517_adress,19,VICALVARO,192,VALDEBERNARDO,PLAZA,JUAN ROF CARBALLO,4,0,ACTIVO
4996518,4996518_adress,19,VICALVARO,192,VALDEBERNARDO,CALLE,LADERA DE LOS ALMENDROS,14G,0,ACTIVO
4996520,4996520_adress,19,VICALVARO,192,VALDEBERNARDO,CAMINO,VIEJO DE VICALVARO,16,0,ACTIVO
4996521,4996521_adress,19,VICALVARO,192,VALDEBERNARDO,CALLE,PINILLAS,11,0,ACTIVO
4996523,4996523_adress,19,VICALVARO,192,VALDEBERNARDO,PLAZA,ROSA CHACEL,10,0,ACTIVO
4996524,4996524_adress,19,VICALVARO,192,VALDEBERNARDO,CALLE,LADERA DE LOS ALMENDROS,46,0,ACTIVO
4996525,4996525_adress,19,VICALVARO,192,VALDEBERNARDO,PLAZA,JUAN CARLOS ONETTI,3,0,ACTIVO
4996528,4996528_adress,17,VILLAVERDE,173,BUTARQUE,AVENIDA,LOS ROSALES,129,0,ACTIVO
4996529,4996529_adress,17,VILLAVERDE,174,LOS ROSALES,CALLE,COALICION,35A,0,ACTIVO
4996533,4996533_adress,11,CARABANCHEL,114,VISTA ALEGRE,PASEO,MARCELINO CAMACHO,6,0,ACTIVO
4996536,4996536_adress,11,CARABANCHEL,113,SAN ISIDRO,CALLE,FAROLILLO,2,0,ACTIVO
4996537,4996537_adress,11,CARABANCHEL,112,OPAÑEL,CALLE,PORTALEGRE,28,0,ACTIVO
4996540,4996540_adress,11,CARABANCHEL,115,PUERTA BONITA,CALLE,CONDE DE MORPHY,6,0,ACTIVO
4996548,4996548_adress,14,MORATALAZ,146,VINATEROS,CALLE,HACIENDA DE PAVONES,209,0,ACTIVO
4996550,4996550_adress,14,MORATALAZ,141,PAVONES,CALLE,VALDEBERNARDO,18B,0,ACTIVO
4996551,4996551_adress,14,MORATALAZ,145,FONTARRON,CALLE,ENCOMIENDA DE PALACIOS,170P,0,ACTIVO
4996553,4996553_adress,14,MORATALAZ,141,PAVONES,CALLE,ARROYO FONTARRON,361,0,ACTIVO
4996554,4996554_adress,13,PUENTE DE VALLECAS,136,NUMANCIA,CALLE,FERNANDO GIRALDEZ,32,0,ACTIVO
4996556,4996556_adress,13,PUENTE DE VALLECAS,135,PORTAZGO,CALLE,TANGER,9,0,ACTIVO
4996559,4996559_adress,13,PUENTE DE VALLECAS,131,ENTREVIAS,RONDA,SUR,6D,17,ACTIVO
4996562,4996562_adress,13,PUENTE DE VALLECAS,133,PALOMERAS BAJAS,CALLE,VIRIDIANA,13F,0,ACTIVO
4996575,4996575_adress,13,PUENTE DE VALLECAS,134,PALOMERAS SURESTE,CALLE,TROLE,9G,0,ACTIVO
4996578,4996578_adress,11,CARABANCHEL,115,PUERTA BONITA,AVENIDA,ABRANTES,305,0,ACTIVO
4997300,4997300_adress,10,LATINA,104,ALUCHE,CALLE,VALMOJADO,2,0,ACTIVO
4998027,4998027_adress,12,USERA,126,ZOFIO,CALLE,MARCELO USERA,157,0,ACTIVO
5003401,5003401_adress,07,CHAMBERI,072,ARAPILES,PLAZA,CONDE DEL VALLE DE SUCHIL,1,1,ACTIVO
5003496,5003496_adress,06,TETUAN,062,CUATRO CAMINOS,CALLE,SAN GERMAN,7,1,ACTIVO
