ID,DESC_CLASIFICACION,address_id,LOCALIDAD,COD_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,TIPO_VIA,NOM_VIA,NUM_VIA,ESTADO,ID_GEO,LATITUD,LONGITUD,USO,MODELO
1118921,Fuentes de beber,1118921_adress,Madrid,28028,043,FUENTE DEL BERRO,04,SALAMANCA,PLAZA,AMERICA ESPAÑOLA,5,OPERATIVO,1118921_geo,40.42906316,-3.6615945,MASCOTAS,BEBEDERO TERRIER
5154625,Fuentes de beber,5154625_adress,Madrid,28035,083,PEÑAGRANDE,08,FUENCARRAL - EL PARDO,CALLE,JOAQUIN LORENZO,5 B,OPERATIVO,5154625_geo,40.47191427,-3.7214262,PERSONAS Y MASCOTAS,MIXTA TERRIER
5216235,Fuentes de beber,5216235_adress,Madrid,28032,193,VALDERRIVAS,19,VICALVARO,AVENIDA,DE LAS COMUNIDADES,161,OPERATIVO,5216235_geo,40.39379669,-3.60634123,PERSONAS Y MASCOTAS,MIXTA TERRIER
5219912,Fuentes de beber,5219912_adress,Madrid,28015,072,ARAPILES,07,CHAMBERI,CALLE,GALILEO,35,OPERATIVO,5219912_geo,40.43341171,-3.71053998,MASCOTAS,BEBEDERO TERRIER
5220275,Fuentes de beber,5220275_adress,Madrid,28026,127,PRADOLONGO,12,USERA,CALLE,CRISTO DE LA VICTORIA,245,OPERATIVO,5220275_geo,40.3775016,-3.70862926,PERSONAS Y MASCOTAS,MIXTA ESTELA
3568802,Fuentes de beber,3568802_adress,Madrid,28027,153,QUINTANA,15,CIUDAD LINEAL,CALLE,VIRGEN DE LLUC,42,OPERATIVO,3568802_geo,40.43525439,-3.6516888,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
5108929,Fuentes de beber,5108929_adress,Madrid,28005,012,EMBAJADORES,01,CENTRO,RONDA,TOLEDO,9,OPERATIVO,5108929_geo,40.40586001,-3.70553708,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
5109125,Fuentes de beber,5109125_adress,Madrid,28005,012,EMBAJADORES,01,CENTRO,RONDA,TOLEDO,7,OPERATIVO,5109125_geo,40.40594537,-3.70573667,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
5212696,Fuentes de beber,5212696_adress,Madrid,28047,101,LOS CARMENES,10,LATINA,AVENIDA,ANGEL SANZ BRIZ,4,OPERATIVO,5212696_geo,40.4005927,-3.735264,MASCOTAS,BEBEDERO TERRIER
5220281,Fuentes de beber,5220281_adress,Madrid,28026,127,PRADOLONGO,12,USERA,CALLE,CRISTO DE LA VICTORIA,199,OPERATIVO,5220281_geo,40.37764029,-3.7050704,PERSONAS Y MASCOTAS,MIXTA ESTELA
