﻿ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;USO;MODELO
1118921;Fuentes de beber;043;FUENTE DEL BERRO;04;SALAMANCA;OPERATIVO;40,42906316;-3,6615945;PLAZA;AMERICA ESPAÑOLA;5;28028;Entrada PARQUE SANCHO DÁVILA;MASCOTAS;BEBEDERO TERRIER
5154625;Fuentes de beber;083;PEÑAGRANDE;08;FUENCARRAL - EL PARDO;OPERATIVO;40,47191427;-3,7214262;CALLE;JOAQUIN LORENZO;5 B;28035;PARQUE ENTRE C/VALLE DE MENA Y JOAQUÍN LORENZO;PERSONAS Y MASCOTAS;MIXTA TERRIER
5216235;Fuentes de beber;193;VALDERRIVAS;19;VICALVARO;OPERATIVO;40,39379669;-3,60634123;AVENIDA;DE LAS COMUNIDADES;161;28032;ZV POSTERIOR C/ MINERVA Nº157;PERSONAS Y MASCOTAS;MIXTA TERRIER
5219912;Fuentes de beber;072;ARAPILES;07;CHAMBERI;OPERATIVO;40,43341171;-3,71053998;CALLE;GALILEO;35;28015;Parque José Luis Sampedro;MASCOTAS;BEBEDERO TERRIER
5220275;Fuentes de beber;127;PRADOLONGO;12;USERA;OPERATIVO;40,3775016;-3,70862926;CALLE;CRISTO DE LA VICTORIA;245;28026;PARQUE DE PRADOLONGO;PERSONAS Y MASCOTAS;MIXTA ESTELA
3568802;Fuentes de beber;153;QUINTANA;15;CIUDAD LINEAL;OPERATIVO;40,43525439;-3,6516888;CALLE;VIRGEN DE LLUC;42;28027;PARQUE CALERO, JUNTO ÁREA CANINA;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5108929;Fuentes de beber;012;EMBAJADORES;01;CENTRO;OPERATIVO;40,40586001;-3,70553708;RONDA;TOLEDO;9;28005;Parque Casino de la Reina;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5109125;Fuentes de beber;012;EMBAJADORES;01;CENTRO;OPERATIVO;40,40594537;-3,70573667;RONDA;TOLEDO;7;28005;Parque Casino de la Reina;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5212696;Fuentes de beber;101;LOS CARMENES;10;LATINA;OPERATIVO;40,4005927;-3,735264;AVENIDA;ANGEL SANZ BRIZ;4;28047;CERCA DE AREA CANINA;MASCOTAS;BEBEDERO TERRIER
5220281;Fuentes de beber;127;PRADOLONGO;12;USERA;OPERATIVO;40,37764029;-3,7050704;CALLE;CRISTO DE LA VICTORIA;199;28026;JUNTO JARDIN BOTÁNICO;PERSONAS Y MASCOTAS;MIXTA ESTELA
5220283;Fuentes de beber;127;PRADOLONGO;12;USERA;OPERATIVO;40,3761186;-3,70290388;CALLE;DOCTOR TOLOSA LATOUR;14 B;28026;JUNTO PISTAS DEPORTIVAS;PERSONAS Y MASCOTAS;MIXTA ESTELA
5220287;Fuentes de beber;127;PRADOLONGO;12;USERA;OPERATIVO;40,37232959;-3,70678463;AVENIDA;POBLADOS;167;28041;AV POBLADOS 146 JUNTO GASOLINERA;PERSONAS Y MASCOTAS;MIXTA ESTELA
529529;Fuentes de beber;033;ESTRELLA;03;RETIRO;OPERATIVO;40,4148791;-3,66199361;CALLE;JUAN ESPLANDIU;4;28007;ÁREA CANINA DEL PARQUE DE ROMA;MASCOTAS;BEBEDERO NEPTUNO
529791;Fuentes de beber;097;ARAVACA;09;MONCLOA-ARAVACA;OPERATIVO;40,45275312;-3,77723365;CALLE;ARROYO DE POZUELO;71;28023;CERCANA AL ÁREA INFANTIL;PERSONAS Y MASCOTAS;MIXTA ESTELA
530022;Fuentes de beber;152;PUEBLO NUEVO;15;CIUDAD LINEAL;OPERATIVO;40,4226797;-3,63809998;AVENIDA;DAROCA;99;28017;PARQUE LOS TILOS II JUNTO ÁREA CANINA;PERSONAS Y MASCOTAS;MIXTA NEPTUNO
5242892;Fuentes de beber;102;PUERTA DEL ANGEL;10;LATINA;OPERATIVO;40,40716583;-3,73737969;PLAZA;PATRIARCA EIJO Y GARAY;2;28011;JUNTO ZONA INFANTIL;PERSONAS Y MASCOTAS;MIXTA TERRIER
529399;Fuentes de beber;015;UNIVERSIDAD;01;CENTRO;OPERATIVO;40,42694655;-3,70440439;CALLE;DOS DE MAYO;1;28004;Plaza Dos de Mayo;PERSONAS Y MASCOTAS;MIXTA ESTELA
529792;Fuentes de beber;097;ARAVACA;09;MONCLOA-ARAVACA;OPERATIVO;40,45349702;-3,77603541;CALLE;VIRGEN DE LOS ROSALES;44;28023;CERCANA A LAS PISTAS DE PETANCA;PERSONAS Y MASCOTAS;MIXTA ESTELA
