ID,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,FECHA_INSTALACION
464189,135,PORTAZGO,13,PUENTE DE VALLECAS,40.39398812,-3.64140803,CALLE,BENJAMIN PALENCIA,76,28038,2010-05-21
464182,135,PORTAZGO,13,PUENTE DE VALLECAS,40.38839517,-3.64466701,AVENIDA,PABLO NERUDA,48,28038,2010-05-21
464248,206,REJAS,20,SAN BLAS - CANILLEJAS,40.44703009,-3.59499996,CALLE,OCHO,7,28022,2010-05-21
464263,206,REJAS,20,SAN BLAS - CANILLEJAS,40.44773614,-3.59424404,AVENIDA,SEGUNDA,4,28022,2010-05-21
464232,135,PORTAZGO,13,PUENTE DE VALLECAS,40.39460113,-3.64955303,CALLE,BENJAMIN PALENCIA,16,28038,2010-05-21
464282,206,REJAS,20,SAN BLAS - CANILLEJAS,40.44457716,-3.59610999,AVENIDA,QUINTA,26,28022,2010-05-21
464168,162,PIOVERA,16,HORTALEZA,40.45823012,-3.62759000,CALLE,JOSE RIZAL,101,28043,2010-05-21
464334,206,REJAS,20,SAN BLAS - CANILLEJAS,40.44610014,-3.57411003,CALLE,FUEMBELLIDA,35,28022,2010-05-21
464436,136,NUMANCIA,13,PUENTE DE VALLECAS,40.40321211,-3.65537903,CALLE,MARISMAS,2,28038,2010-05-21
464557,136,NUMANCIA,13,PUENTE DE VALLECAS,40.40369712,-3.65643398,CALLE,PEÑA LABRA,12,28038,2010-05-21
464582,161,PALOMAS,16,HORTALEZA,40.45205413,-3.61504199,CALLE,GUADALAJARA,7,28042,2010-05-24
464606,161,PALOMAS,16,HORTALEZA,40.45315013,-3.61171995,CALLE,ARMONIA,22,28042,2010-05-24
464666,161,PALOMAS,16,HORTALEZA,40.45242910,-3.60808995,CALLE,PISUEÑA,52,28042,2010-05-24
464669,161,PALOMAS,16,HORTALEZA,40.45196008,-3.60779997,CALLE,MAESTRA FELISA LOZANO,13,28042,2010-05-24
464688,136,NUMANCIA,13,PUENTE DE VALLECAS,40.40074814,-3.66515898,CAMINO,VALDERRIBAS,37 A,28038,2010-05-24
464690,161,PALOMAS,16,HORTALEZA,40.45073009,-3.60797003,AVENIDA,LOGROÑO,27,28042,2010-05-24
464732,161,PALOMAS,16,HORTALEZA,40.45450716,-3.61367395,CALLE,ENRIQUE DE PRADA,7,28042,2010-05-24
464753,136,NUMANCIA,13,PUENTE DE VALLECAS,40.40219015,-3.66122999,CALLE,PICO ALMANZOR,17,28038,2010-05-24
464757,136,NUMANCIA,13,PUENTE DE VALLECAS,40.40136313,-3.66143201,CALLE,FERNANDO GIRALDEZ,35,28038,2010-05-24
464787,162,PIOVERA,16,HORTALEZA,40.45543010,-3.62306003,AVENIDA,MACHUPICHU,2,28043,2010-05-24
464791,162,PIOVERA,16,HORTALEZA,40.45646011,-3.62375996,AVENIDA,MACHUPICHU,12,28043,2010-05-24
464811,136,NUMANCIA,13,PUENTE DE VALLECAS,40.39877113,-3.65450699,CALLE,RAMON PEREZ DE AYALA,18,28038,2010-05-24
464885,162,PIOVERA,16,HORTALEZA,40.46086812,-3.62625898,AVENIDA,MACHUPICHU,34,28043,2010-05-24
464894,162,PIOVERA,16,HORTALEZA,40.46092009,-3.63217003,AVENIDA,MACHUPICHU,69,28043,2010-05-24
464901,136,NUMANCIA,13,PUENTE DE VALLECAS,40.40018008,-3.66045001,CALLE,SIERRA TOLEDANA,2,28038,2010-05-24
464903,136,NUMANCIA,13,PUENTE DE VALLECAS,40.39897014,-3.66035994,CAMINO,VALDERRIBAS,93 B,28038,2010-05-24
