ID,COD_BARRIO,BARRIO,links_barrio,COD_DISTRITO,DISTRITO,links_district,ESTADO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,CODIGO_INTERNO,MODELO
464731,161,Palomas,https://wikidata.org/entity/Q390460,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.45379609,-3.614095,CALLE,CONDE DE LAS POSADAS,20,28042,223714,50_LTS_EX
464800,162,La Piovera,https://wikidata.org/entity/Q5964851,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.45810415,-3.62362904,AVENIDA,PAPA NEGRO,22,28043,223788,50_LTS_EX
464805,136,Numancia,https://wikidata.org/entity/Q10338144,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,OPERATIVO,40.39995411,-3.65406804,CALLE,RAMON PEREZ DE AYALA,46,28038,223795,50_LTS_EX
464818,136,Numancia,https://wikidata.org/entity/Q10338144,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,OPERATIVO,40.3977201,-3.65498004,CALLE,RAMON PEREZ DE AYALA,3,28038,223808,50_LTS_EX
464832,162,La Piovera,https://wikidata.org/entity/Q5964851,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.45993112,-3.62550699,CALLE,JOSE IGNACIO AVILA,5,28043,223822,50_LTS_EX
464852,162,La Piovera,https://wikidata.org/entity/Q5964851,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.45988016,-3.62340002,CALLE,FRANCISCO MOREJON,9,28043,223843,50_LTS_EX
464880,162,La Piovera,https://wikidata.org/entity/Q5964851,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.46088016,-3.62844005,CALLE,FLORENCIO CASTILLO,2,28043,223873,50_LTS_EX
464915,136,Numancia,https://wikidata.org/entity/Q10338144,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,OPERATIVO,40.40034009,-3.65879002,CALLE,PUERTO DE COTOS,10,28038,223910,50_LTS_EX
464732,161,Palomas,https://wikidata.org/entity/Q390460,16,Hortaleza,https://wikidata.org/entity/Q1928529,OPERATIVO,40.45450716,-3.61367395,CALLE,ENRIQUE DE PRADA,7,28042,223716,50_LTS_EX
464753,136,Numancia,https://wikidata.org/entity/Q10338144,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,OPERATIVO,40.40219015,-3.66122999,CALLE,PICO ALMANZOR,17,28038,223738,50_LTS_EX
