POSICION;MOTIVO;COMENTARIO;idelem;NOVEDAD;DISEÑO;DISTRITOS;BARRIO;TIPO;LONGITUD;N_ELEMENTOS;PROMOTOR;TEXTO
GRAN VIA;ARCOS COMPACTOS;ARCOS CON TRES VANOS, INCLUYENDO ACERA;1;NO;BEN BUSCHE;Centro;Cortes;LINEAL;1336;;AG OBRAS Y EQUIPAMIENTOS;La instalación lumínica se inspira en las imágenes de las nebulosas y galaxias del telescopio Hubble y el sentimiento que se asocia inmediatamente al contemplarlos: el asombro hipnótico ante la inmensidad del espacio, la infinidad de estrellas y de mundos posibles mezclado con los recuerdos de la contemplación real de la vía láctea, también presentes aunque cada vez más lejanos y aparentemente irreales por la ausencia de oscuridad del cielo nocturno en una sociedad cada vez más urbanizada
PLAZA CHUECA;MOTIVO SINGULAR;CATENARIAS CON COLGANTES CRUZADOS;2;SI;ANA LOCKING;Centro;Justicia;LINEAL;146;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
MONTERA;ARCOS COMPACTOS;MOTIVOS DE RENOS, CAMPANAS, PATINES, BOLAS, MUERDAGO,;3;NO;MAYA HANSEN;Centro;Sol;LINEAL;291;;AG OBRAS Y EQUIPAMIENTOS;“He querido mezclar elementos tradicionales como las clásicas campanas navideñas, los renos o los patines sobre hielo, con elementos insignia de mi trabajo como el corsé que se ve en la parte central, cuya lazada finaliza haciendo alusión a la firma del graffitero Juan Carlos Argüelles, conocido como ‘Muelle’, un elemento muy característico de la calle Montera”, declara la diseñadora madrileña.
FUENCARRAL - DE GRAN VIA A HERNAN CORTES;ARCOS COMPACTOS;ARCOS CON LEMURES;4;NO;TERESA HELBIG;Centro;Justicia;LINEAL;393;;AG OBRAS Y EQUIPAMIENTOS;“Con los lémures siempre hemos sentido una conexión especial, por sus habilidades comunicativas innatas, por coquetos y presumidos, por ser propulsores del feminismo en el reino animal… Por eso queríamos que fuesen ellos quienes protagonizasen las luces que hemos diseñado. A través de sus ojos, celebramos la picardía, la sensibilidad e inteligencia innatas, el sexto sentido, la libertad y la feminidad”, cuenta la diseñadora.
HORTALEZA. DE GRAN VIA A HERNAN CORTES;ARCOS COMPACTOS;ARCOS CON CIRCULOS DE COLORES;5;NO; ;Centro;Justicia;LINEAL;388;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
CALLE MAYOR;COLGANTES;BURBUJAS ESFERVESCENTES;6;NO;SERGIO SEBASTIAN;Centro;Sol;LINEAL;490;;AG OBRAS Y EQUIPAMIENTOS;BURBUJAS ESFERVESCENTES FORMADAS POR ESTRUCTURA METALICA DE ALUMINIO CON HILO DE LED CON MOVIMIENTO DINAMICO Y VARIABLE EN INTENSIDAD LUMINOSA
PLAZA DE  CANALEJAS;MOTIVO SINGULAR;DISEÑO DE IRIS;7;SI;BEN BUSCHE;Centro;Cortes, Sol;PUNTUAL;;;AG OBRAS Y EQUIPAMIENTOS;El diseño en la Plaza de Canalejas se inspira en el cielo estrellado, las constelaciones,  las imágenes del telescopio Hubble y los sentimientos que se asocian inmediatamente a su contemplación: el asombro hipnótico ante la inmensidad del espacio. Por la plaza con su forma perfectamente circular se extiende una nebulosa que aparenta un iris de un ojo. Espacio urbano perfectamente circular con un diámetro de 50 metros, con una malla de cuerdas luminosas concéntricas rojas y azules situada a 9 metros del suelo que crea la ilusión de un iris gigante flotando en el espacio. La impresionante instalación espacial cubre una superficie total de 2000 m2. Solo el hilo luminoso LED de color rojo y azul tiene una longitud total de 2 kilómetros. Las dos esferas de 1 metro de diámetro cambian constantemente de color y se iluminan con 1.800 LED RGB cada una. Total 102.600 leds con un consumo de 2,1 kW/h
PLAZA MAYOR;ARCOS COMPACTOS;VELAS NAVIDEÑAS;8;NO; ;Centro;Sol;LINEAL;410;;AG OBRAS Y EQUIPAMIENTOS;MOTIVO LUMINOSO
CIUDAD RODRIGO;ARCOS COMPACTOS;PAÑOS O NEBLINA;9;NO; ;Centro;Sol;LINEAL;40;;AG OBRAS Y EQUIPAMIENTOS;PAÑOS BLANCOS DE 2,10 METROS DE ANCHO POR 2,6 METROS DE ALTURA, CON ILUMINACION POR MEDIO DE CORTINA LEDS DE 1.425 PUNTOS CON UNA POTENCIA DE 125 W
SAL;ARCOS COMPACTOS;PAÑOS O NEBLINA;10;NO; ;Centro;Sol;LINEAL;36;;AG OBRAS Y EQUIPAMIENTOS;PAÑOS BLANCOS DE 2,10 METROS DE ANCHO POR 2,6 METROS DE ALTURA, CON ILUMINACION POR MEDIO DE CORTINA LEDS DE 1.425 PUNTOS CON UNA POTENCIA DE 125 W
