ID,BARRIO,same_as_wikidata_barrio,DISTRITO,same_as_wikidata_distrito,ESTADO,CLASE-VIAL,NOMBRE-VIA,CODIGO-POSTAL,FECHA-INSTALACION,MODELO
72242,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"NIZA, 8",28022,2021-09-21,MU-51
72192,Palomas,http://wikidata.org/entity/Q390460,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,AVENIDA,"ANDES, 50",28042,2021-09-16,MU-51
72241,Rosas,http://wikidata.org/entity/Q18880469,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,AVENIDA,"NIZA, 8",28022,2021-05-06,MU-51
73045,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"AGUSTIN CALVO, 8",28043,2020-09-23,MU-51
73163,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"AREQUIPA, 1",28043,2021-09-16,MU-51
73171,Corralejos,http://wikidata.org/entity/Q10260772,Barajas,http://wikidata.org/entity/Q807230,OPERATIVO,CALLE,"BAHIA DE MALAGA, 5",28042,2021-09-16,MU-38
73177,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"CARRIL DEL CONDE, 57",28043,2021-09-14,MU-51
73179,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"JAVIER DEL QUINTO, 12",28043,2021-09-17,MU-51
73183,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"AGUSTIN CALVO, 8",28043,2021-09-16,MU-51
73190,Canillejas,http://wikidata.org/entity/Q663013,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"BOLTAÑA, 68",28022,2019-01-28,MU-51
73196,Canillas,http://wikidata.org/entity/Q9694341,Hortaleza,http://wikidata.org/entity/Q1928529,OPERATIVO,CALLE,"RICARDO SAN JUAN, 2",28043,2021-09-10,MU-51
73201,Ventas,http://wikidata.org/entity/Q71762,Ciudad Lineal,http://wikidata.org/entity/Q1763694,OPERATIVO,AVENIDA,"MARQUES DE CORBERA, 54",28017,2021-05-06,MU-51
76173,EL SALVADOR,,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"MARIA LOMBILLO, 2",28027,2021-09-10,MU-51
76182,Canillejas,http://wikidata.org/entity/Q663013,San Blas-Canillejas,http://wikidata.org/entity/Q2001937,OPERATIVO,CALLE,"MUSAS, 5",28022,2019-02-28,MU-51
