ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,FECHA_INSTALACION,MODELO
72242,Aparcabicicletas,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,AVENIDA,NIZA,8,28022,2021-09-21 00:00:00.0,MU-51
72192,Aparcabicicletas,161,PALOMAS,16,HORTALEZA,OPERATIVO,AVENIDA,ANDES,50,28042,2021-09-16 00:00:00.0,MU-51
72241,Aparcabicicletas,205,ROSAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,AVENIDA,NIZA,8,28022,2021-05-06 00:00:00.0,MU-51
73045,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,AGUSTIN CALVO,8,28043,2020-09-23 00:00:00.0,MU-51
73163,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,AREQUIPA,1,28043,2021-09-16 00:00:00.0,MU-51
73171,Aparcabicicletas,215,CORRALEJOS,21,BARAJAS,OPERATIVO,CALLE,BAHIA DE MALAGA,5,28042,2021-09-16 00:00:00.0,MU-38
73177,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,CARRIL DEL CONDE,57,28043,2021-09-14 00:00:00.0,MU-51
73179,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,JAVIER DEL QUINTO,12,28043,2021-09-17 00:00:00.0,MU-51
73183,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,AGUSTIN CALVO,8,28043,2021-09-16 00:00:00.0,MU-51
73190,Aparcabicicletas,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,BOLTAÑA,68,28022,2019-01-28 00:00:00.0,MU-51
73196,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,RICARDO SAN JUAN,2,28043,2021-09-10 00:00:00.0,MU-51
73201,Aparcabicicletas,151,VENTAS,15,CIUDAD LINEAL,OPERATIVO,AVENIDA,MARQUES DE CORBERA,54,28017,2021-05-06 00:00:00.0,MU-51
76173,Aparcabicicletas,208,EL SALVADOR,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,MARIA LOMBILLO,2,28027,2021-09-10 00:00:00.0,MU-51
76182,Aparcabicicletas,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,MUSAS,5,28022,2019-02-28 00:00:00.0,MU-51
76190,Aparcabicicletas,152,PUEBLO NUEVO,15,CIUDAD LINEAL,OPERATIVO,AVENIDA,INSTITUCION LIBRE DE ENSEÑANZA,160,28037,2021-05-06 00:00:00.0,MU-51
77008,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,AGUSTIN CALVO,8,28043,2021-09-29 00:00:00.0,MU-51
78458,Aparcabicicletas,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,CALLE,AYACUCHO,30,28043,2021-05-06 00:00:00.0,MU-51
78459,Aparcabicicletas,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,CALLE,AYACUCHO,30,28043,2019-01-28 00:00:00.0,MU-51
78765,Aparcabicicletas,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,CALLE,BERGANTIN,11,28042,2021-02-11 00:00:00.0,MU-51
78766,Aparcabicicletas,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,CALLE,BERGANTIN,11,28042,2021-09-23 00:00:00.0,MU-51
78461,Aparcabicicletas,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,CALLE,AYACUCHO,30,28043,2019-05-24 00:00:00.0,MU-51
88069,Aparcabicicletas,152,PUEBLO NUEVO,15,CIUDAD LINEAL,OPERATIVO,AVENIDA,INSTITUCION LIBRE DE ENSEÑANZA,70,28037,2021-09-23 00:00:00.0,MU-51
88072,Aparcabicicletas,152,PUEBLO NUEVO,15,CIUDAD LINEAL,OPERATIVO,AVENIDA,INSTITUCION LIBRE DE ENSEÑANZA,70,28037,2019-05-21 00:00:00.0,MU-51
88154,Aparcabicicletas,152,PUEBLO NUEVO,15,CIUDAD LINEAL,OPERATIVO,CALLE,FRANCISCO RIOJA,14,28017,2021-09-29 00:00:00.0,MU-51
88594,Aparcabicicletas,156,SAN JUAN BAUTISTA,15,CIUDAD LINEAL,OPERATIVO,CALLE,TREVIANA,1,28043,2021-02-11 00:00:00.0,MU-51
88666,Aparcabicicletas,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,CALLE,BALANDRO,1,28042,2021-09-14 00:00:00.0,MU-51
92976,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,TORQUEMADA,5,28043,2021-09-24 00:00:00.0,MU-51
92978,Aparcabicicletas,163,CANILLAS,16,HORTALEZA,OPERATIVO,CALLE,MANZANAR,12,28043,2021-09-16 00:00:00.0,MU-51
63463,Aparcabicicletas,203,AMPOSTA,20,SAN BLAS-CANILLEJAS,OPERATIVO,AVENIDA,INSTITUCION LIBRE DE ENSEÑANZA,160,28037,2022-08-25 00:00:00.0,MU-51
67743,Aparcabicicletas,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,AVENIDA,MANOTERAS,46,28050,2021-09-21 00:00:00.0,MU-51
63447,Aparcabicicletas,208,EL SALVADOR,20,SAN BLAS-CANILLEJAS,OPERATIVO,CALLE,JUAN IGNACIO LUCA DE TENA,23,28027,2019-06-14 00:00:00.0,MU-51
