PK,NOMBRE,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,TIPO
11353987,Instalación Deportiva  Básica Embalse de San Juan,Pista de baloncesto. Pista de fútbol sala.,"Bus: 58 , 63 , 145. Renfe: Santa Eugenia",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD,EMBALSE DE SAN JUAN,CALLE,1,28051,3,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
6344681,Instalación Deportiva Básica Alto del Retiro,1 Pista de baloncesto. 1 Pista polideportiva (marcajes de fútbol sala y balonmano).,Metro: Las Suertes,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a7c2150461f5310VgnVCM1000000b205a0aRCRD,ALTO DEL RETIRO,CALLE,13,28051,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
11350944,Instalación Deportiva Básica Avenida de Cerro Milano,Pista de minibaloncesto. Pista de minifútbol,Metro: CongostoBus: 142,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3ccd112cde58710VgnVCM1000001d4a900aRCRD,CERRO MILANO,AVENIDA,1,28051,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
11350990,Instalación Deportiva Básica Avenida de las Suertes,Pista de baloncesto. Pista polideportiva (marcajes de fútbol sala y voleibol).,Metro: Las Suertes,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD,avenida de las Suertes,AVENIDA,,28051,3,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
11350948,Instalación Deportiva Básica Avenida del Ensanche de Vallecas,Pista de minibaloncesto. Pista de minifútbol. Pista de skate.,Metro: Las Suertes,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD,ENSANCHE DE VALLECAS,AVENIDA,11,28051,3,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
11350970,Instalación Deportiva Básica Avenida del Mediterráneo,Mini pista de patinaje,,2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e52d112cde58710VgnVCM1000001d4a900aRCRD,LUIS MITJANS,INST. DEPORTIVA BASICA,,,,,,DISTRITO,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4540130,Instalación Deportiva Básica Camino de la Suerte,Campo de fútbol 11 de césped artificial.  Campo de fútbol 7 de tierra (próximamente de césped artificial).,"Metro: Congosto. Bus: 54 , 142",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a6fd908b7551110VgnVCM1000000b205a0aRCRD,SUERTE,CAMINO,25,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4540101,Instalación Deportiva Básica Circuito de Automodelismo,Circuito de automodelismo,"Metro: Congosto. Bus: 54 , 142",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cee0b2e617551110VgnVCM1000000b205a0aRCRD,NAVAMURES,CALLE,2,28031,3,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
4538536,Instalación Deportiva Básica Colonia Vilda,"2 Pistas polideportivas, (marcajes de fútbol sala y balonmano y 2 baloncestos transversales).","Bus: 58 , 63 , 145. Renfe: Santa Eugenia",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617f55fdb3b41110VgnVCM1000000b205a0aRCRD,PUENTELARRA,CALLE,1,28031,2,SANTA EUGENIA,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
11352297,Instalación Deportiva Básica Eduardo Chillida,1 Pista de minibaloncesto y minifútbol,"Bus: 58 , 63 , 145. Renfe: Santa Eugenia",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c981763979368710VgnVCM1000001d4a900aRCRD,EDUARDO CHILLIDA,CALLE,1,28051,3,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas
10927053,Instalación Deportiva Básica Jardines de José Luis Sampedro (junto al Centro Cultural Galileo),Circuito de bicicletas,"Metro: Quevedo, Moncloa Bus: 2, 12, 202",3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6de45fd3c7e9610VgnVCM1000001d4a900aRCRD,JOSE LUIS SAMPEDRO,JARDIN,,,,,,DISTRITO,/contenido/entidadesYorganismos/CentrosEspaciosDeporte
4538305,Instalación Deportiva Básica La Unión,Unidades deportivas cubiertas:  4 Pistas de pádel.    Unidades deportivas al aire libre:  Campo de fútbol 11 de césped artificial.,"Bus: 58 , 63 , 145",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=773aaae91fa41110VgnVCM1000000b205a0aRCRD,ENRIQUE GARCIA ALVAREZ,CALLE,58,28031,2,SANTA EUGENIA,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
4538164,Instalación Deportiva Básica Nuestra Señora de la Torre,2 Campos de Fútbol (césped artificial),"Metro: Villa de VallecasBus: 54 , 58 , 142",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de89a56418a41110VgnVCM1000000b205a0aRCRD,PUERTO DE REINOSA,TRAVESIA,2,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol
