PK,NOMBRE,TIPO,EQUIPAMIENTO,TRANSPORTE,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,CODIGO-POSTAL,BARRIO,DISTRITO
11353987,Instalación Deportiva  Básica Embalse de San Juan,Instalación Deportiva,Pista de baloncesto. Pista de fútbol sala.,"Bus: 58 , 63 , 145. Renfe: Santa Eugenia",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa29f533a3468710VgnVCM1000001d4a900aRCRD,"EMBALSE DE SAN JUAN, 1",CALLE,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS
11350990,Instalación Deportiva Básica Avenida de las Suertes,Instalación Deportiva,Pista de baloncesto. Pista polideportiva (marcajes de fútbol sala y voleibol).,Metro: Las Suertes,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b777d112cde58710VgnVCM1000001d4a900aRCRD,AVENIDA DE LAS SUERTES,AVENIDA,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS
11350948,Instalación Deportiva Básica Avenida del Ensanche de Vallecas,Instalación Deportiva,Pista de minibaloncesto. Pista de minifútbol. Pista de skate.,Metro: Las Suertes,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=867fd112cde58710VgnVCM1000001d4a900aRCRD,"ENSANCHE DE VALLECAS, 11",AVENIDA,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS
4540101,Instalación Deportiva Básica Circuito de Automodelismo,Instalación Deportiva,Circuito de automodelismo,"Metro: Congosto. Bus: 54 , 142",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cee0b2e617551110VgnVCM1000000b205a0aRCRD,"NAVAMURES, 2",CALLE,28031,ENSANCHE DE VALLECAS,VILLA DE VALLECAS
4538536,Instalación Deportiva Básica Colonia Vilda,Instalación Deportiva,"2 Pistas polideportivas, (marcajes de fútbol sala y balonmano y 2 baloncestos transversales).","Bus: 58 , 63 , 145. Renfe: Santa Eugenia",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=617f55fdb3b41110VgnVCM1000000b205a0aRCRD,"PUENTELARRA, 1",CALLE,28031,SANTA EUGENIA,VILLA DE VALLECAS
11352297,Instalación Deportiva Básica Eduardo Chillida,Instalación Deportiva,1 Pista de minibaloncesto y minifútbol,"Bus: 58 , 63 , 145. Renfe: Santa Eugenia",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c981763979368710VgnVCM1000001d4a900aRCRD,"EDUARDO CHILLIDA, 1",CALLE,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS
4538305,Instalación Deportiva Básica La Unión,Instalación Deportiva,Unidades deportivas cubiertas:  4 Pistas de pádel.    Unidades deportivas al aire libre:  Campo de fútbol 11 de césped artificial.,"Bus: 58 , 63 , 145",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=773aaae91fa41110VgnVCM1000000b205a0aRCRD,"ENRIQUE GARCIA ALVAREZ, 58",CALLE,28031,SANTA EUGENIA,VILLA DE VALLECAS
4539403,Instalación Deportiva Básica P.A.R. Castrillo de Aza,Instalación Deportiva,Pista de baloncesto,"Bus: 58 , 63 , 145. Renfe: Santa Eugenia",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a554a9b438051110VgnVCM1000000b205a0aRCRD,"SANTA EUGENIA, 1",AVENIDA,28031,SANTA EUGENIA,VILLA DE VALLECAS
11354193,Instalación Deportiva Básica Parkour,Instalación Deportiva,Circuito de parkour. Circuito de calistenia. Pista de minibaloncesto. Pista de patinaje.,"Bus: 58 , 63 , 145. Renfe: Santa Eugenia",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=371ef533a3468710VgnVCM1000001d4a900aRCRD,"LA GAVIA, 39",AVENIDA,28051,ENSANCHE DE VALLECAS,VILLA DE VALLECAS
5542270,Instalación Deportiva Básica Parque Real de Arganda,Instalación Deportiva,1 Pista de fútbol sala,Metro: Villa de VallecasBus: 58,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c497740efc26210VgnVCM1000000b205a0aRCRD,"REAL DE ARGANDA, 45",CALLE,28031,SANTA EUGENIA,VILLA DE VALLECAS
