City Name,Zone Name,Ward Name,Ward No.,Length of Roads (in km),Length of Tar Roads (in km),Length of Concrete Roads (in km),Length of Roads with footpaths on both sides (in km),Length of Roads with footpaths on one side (in km)
Agra ,EAST,Kajipara,1,5.97,NA,NA,NA,NA
Agra ,SOUTH,Gummat Takh Pahalwan,2,5.274,NA,NA,NA,NA
Agra ,WEST,Jagdish Pura,3,3.18,NA,NA,NA,NA
Agra ,SOUTH,Sewla Jat,4,5.4,NA,NA,NA,NA
Agra ,SOUTH,Himachal Colony,5,5.96,NA,NA,NA,NA
Agra ,WEST,Jagdish pura Purv,6,7.077,NA,NA,NA,NA
Agra ,WEST,Khatena,7,2.23,NA,NA,NA,NA
Agra ,EAST,Idgah,8,6.975,NA,NA,NA,NA
Agra ,WEST,Ghas ki mandi,9,5.745,NA,NA,NA,NA
Agra ,WEST,Prakash Nagar,10,2.915,NA,NA,NA,NA
Agra ,NORTH,Charsu Darwaza,11,3.731,NA,NA,NA,NA
Agra ,WEST,Nagla Mohan,12,2.33,NA,NA,NA,NA
Agra ,NORTH,Nagla Harmuk,13,2.493,NA,NA,NA,NA
Agra ,EAST,Kachpura,14,10.96,NA,NA,NA,NA
Agra ,SOUTH,Saray Malukchand,15,14.161,NA,NA,NA,NA
Agra ,EAST,Dholikhar,16,10.36,NA,NA,NA,NA
Agra ,NORTH,Ratanpura,17,11.25,NA,NA,NA,NA
Agra ,WEST,Rajnagar,18,2.172,NA,NA,NA,NA
Agra ,SOUTH,Bundu Katra,19,7.47,NA,NA,NA,NA
Agra ,NORTH,Freeganj,20,7.95,NA,NA,NA,NA
Agra ,WEST,Barah Kambha,21,5.6,NA,NA,NA,NA
Agra ,SOUTH,Souhalla,22,4.36,NA,NA,NA,NA
Agra ,EAST,Mohanpura,23,5.54,NA,NA,NA,NA
Agra ,WEST,Gadhi Bhadouriya,24,10.51,NA,NA,NA,NA
Agra ,NORTH,Bag Muzaffar Khan,25,5.164,NA,NA,NA,NA
Agra ,NORTH,Jageshwar Nagar,26,7.6,NA,NA,NA,NA
Agra ,SOUTH,Ajeet Nagar,27,7.82,NA,NA,NA,NA
Agra ,EAST,Nayi Ki Saray,28,26.9,NA,NA,NA,NA
Agra ,NORTH,Khandari,29,19.015,NA,NA,NA,NA
Agra ,WEST,Ram Nagar,30,10.02,NA,NA,NA,NA
Agra ,NORTH,Lawyers Colony,31,18.168,NA,NA,NA,NA
Agra ,EAST,Dera Saras,32,9,NA,NA,NA,NA
Agra ,SOUTH,Dhandhupura,33,12.85,NA,NA,NA,NA
Agra ,WEST,Bhogipura,34,10.075,NA,NA,NA,NA
Agra ,SOUTH,Mustafa Quarter,35,3.395,NA,NA,NA,NA
Agra ,SOUTH,Mahadev Nagar,36,13.87,NA,NA,NA,NA
Agra ,WEST,Nagla Ajeeta,37,10.875,NA,NA,NA,NA
Agra ,NORTH,Gailana,38,10.48,NA,NA,NA,NA
Agra ,EAST,Namner,39,6.47,NA,NA,NA,NA
Agra ,EAST,Baluganj,40,6.233,NA,NA,NA,NA
Agra ,WEST,Azampara,41,4.904,NA,NA,NA,NA
