Identificador_Dirección,Número_de_Distrito,Calle,Tipo de Vía
750181826,7,ALLEE ADRIENNE LECOUVREUR,ALLEE
750154927,13,ALLEE ALEXANDRE VIALATTE,ALLEE
750155610,20,ALLEE ALQUIER-DEBROUSSE,ALLEE
750179202,1,ALLEE ANDRE BRETON,ALLEE
750013157,19,ALLEE ANNE DE BEAUJEU,ALLEE
750182115,3,ALLEE ARNAUD BELTRAME,ALLEE
750141929,19,ALLEE ARTHUR HONEGGER,ALLEE
750179210,1,ALLEE BLAISE CENDRARS,ALLEE
750178808,16,ALLEE CHARLES BRENNUS,ALLEE
750165723,14,ALLEE CHATEAU OUVRIER,ALLEE
750177779,17,ALLEE COLETTE HEILBRONNER,ALLEE
750075421,18,ALLEE D'ANDREZIEUX,ALLEE
750015226,19,ALLEE DARIUS MILHAUD,ALLEE
750167536,12,ALLEE DE BERCY,ALLEE
750016288,19,ALLEE DE FONTAINEBLEAU,ALLEE
750168440,16,ALLEE DE L'ESPERANCE,ALLEE
750161448,15,ALLEE DE LA BERTELOTTE,ALLEE
750151699,15,ALLEE DE LA DEUXIEME D.B.,ALLEE
750164489,19,ALLEE DE LA GARANCE,ALLEE
750173640,16,ALLEE DE LONGCHAMP,ALLEE
750168064,16,ALLEE DE MADRID A NEUILLY,ALLEE
750155076,18,ALLEE DES BROUILLARDS,ALLEE
750150630,19,ALLEE DES CARDINOUX,ALLEE
750174333,15,ALLEE DES CYGNES,ALLEE
750015647,19,ALLEE DES EIDERS,ALLEE
750360160,16,ALLEE DES ERABLES,ALLEE
750171910,16,ALLEE DES FORTIFICATIONS,ALLEE
750359853,15,ALLEE DES FRERES VOISIN,ALLEE
750146368,14,ALLEE DES HORTENSIAS,ALLEE
750183325,4,ALLEE DES JUSTES PARMI LES NATIONS,ALLEE
750097155,20,ALLEE DES MAUVES,ALLEE
750146639,19,ALLEE DES ORGUES DE FLANDRE,ALLEE
750064767,12,ALLEE DES VERGERS,ALLEE
750015412,19,ALLEE DIANE DE POITIERS,ALLEE
750168357,16,ALLEE DU BORD DE L'EAU,ALLEE
750152561,19,ALLEE DU BRINDEAU,ALLEE
750151715,15,ALLEE DU CAPITAINE DRONNE,ALLEE
750151773,14,ALLEE DU CHEF D'ESCADRON DE GUILLEBON,ALLEE
750154288,15,ALLEE DU COMMANDANT RAYNAL,ALLEE
750146497,15,ALLEE DU GENERAL DENAIN,ALLEE
750134589,17,ALLEE DU GENERAL KOENIG,ALLEE
750075115,13,ALLEE DU PARC DE CHOISY,ALLEE
750093342,20,ALLEE DU PERE JULIEN DHUIT,ALLEE
750156544,11,ALLEE DU PHILOSOPHE,ALLEE
750154853,6,ALLEE DU REVEREND PERE MICHEL RIQUET,ALLEE
750178783,13,ALLEE ERIC CHABEUR,ALLEE
750179423,15,ALLEE EUGENIE,ALLEE
750168167,16,ALLEE FORTUNEE,ALLEE
750016357,19,ALLEE GABRIELLE D'ESTREES,ALLEE
750143896,14,ALLEE GASTON BACHELARD,ALLEE
750016560,19,ALLEE GEORGES RECIPON,ALLEE
750089595,20,ALLEE GEORGES ROUAULT,ALLEE
750174642,14,ALLEE HENRY DUNANT,ALLEE
750175577,15,ALLEE IRENE NEMIROVSKY,ALLEE
750174726,15,ALLEE ISADORA DUNCAN,ALLEE
750182817,17,ALLEE JEAN-FRANCOIS DIVRY,ALLEE
750179414,15,ALLEE JOSEPH RECAMIER,ALLEE
750179206,1,ALLEE JULES SUPERVIELLE,ALLEE
750146599,15,ALLEE LE GRAMAT,ALLEE
750032310,7,ALLEE LEON BOURGEOIS,ALLEE
750179212,1,ALLEE LOUIS ARAGON,ALLEE
750175918,8,ALLEE LOUIS DE FUNES,ALLEE
750017894,19,ALLEE LOUISE LABE,ALLEE
750183286,18,ALLEE LYDIA BECKER,ALLEE
750027933,6,ALLEE MAINTENON,ALLEE
750071689,13,ALLEE MARC CHAGALL,ALLEE
750075106,13,ALLEE MARCEL JAMBENOIRE,ALLEE
750146503,15,ALLEE MARGUERITE YOURCENAR,ALLEE
750175592,15,ALLEE MARIANNE BRESLAUER,ALLEE
750091592,20,ALLEE MARIE LAURENT,ALLEE
750177068,19,ALLEE MARIUS BARROUX,ALLEE
750176045,14,ALLEE NINA SIMONE,ALLEE
750185481,13,ALLEE PARIS-IVRY,ALLEE
750159577,7,ALLEE PAUL DESCHANEL,ALLEE
750019346,19,ALLEE PERNETTE DU GUILLET,ALLEE
750150612,19,ALLEE PIERRE MOLLARET,ALLEE
750167156,10,ALLEE PROFESSEUR JEAN BERNARD,ALLEE
750084048,18,ALLEE RIMSKI-KORSAKOV,ALLEE
750171540,14,ALLEE RODENBACH,ALLEE
750168394,16,ALLEE SAINT-DENIS,ALLEE
750033766,7,ALLEE THOMY-THIERRY,ALLEE
750144050,18,ALLEE VALENTIN ABEILLE,ALLEE
750106407,14,ALLEE VERHAEREN,ALLEE
750057236,11,ALLEE VERTE,ALLEE
750064957,12,ALLEE VIVALDI,ALLEE
750181870,17,ALLEE YVETTE GUILBERT,ALLEE
750177346,8,ARC DES CHAMPS ELYSEES,ARC
750118894,16,AVENUE ADRIEN HEBRARD,AVENUE
750106771,15,AVENUE ALBERT BARTHOLOME,AVENUE
750118937,16,AVENUE ALBERT DE MUN,AVENUE
750119023,16,AVENUE ALPHAND,AVENUE
750119028,16,AVENUE ALPHONSE XIII,AVENUE
750144091,19,AVENUE AMBROISE RENDU,AVENUE
750163372,7,AVENUE ANATOLE FRANCE,AVENUE
750177563,14,AVENUE ANDRE RIVOIRE,AVENUE
750184061,16,AVENUE ANNE-EUGENIE MILLERET DE BROU,AVENUE
750057825,12,AVENUE ARMAND ROUSSEAU,AVENUE
750030338,7,AVENUE BARBEY D'AUREVILLY,AVENUE
750034936,8,AVENUE BEAUCOUR,AVENUE
750185244,20,AVENUE BENOIT FRACHON,AVENUE
750035108,8,AVENUE BERTIE ALBRECHT,AVENUE
750030507,7,AVENUE BOSQUET,AVENUE
750120152,16,AVENUE BOUDON,AVENUE
750067039,13,AVENUE BOUTROUX,AVENUE
750132164,17,AVENUE BRUNETIERE,AVENUE
750120335,16,AVENUE BUGEAUD,AVENUE
750067343,13,AVENUE CAFFIERI,AVENUE
750132447,17,AVENUE CARNOT,AVENUE
750152621,20,AVENUE CARTELLIER,AVENUE
750157353,8,AVENUE CESAR CAIRE,AVENUE
750180550,17,AVENUE CH/17,AVENUE
750169467,16,AVENUE CHANTEMESSE,AVENUE
750059152,12,AVENUE CHARLES DE FOUCAULD,AVENUE
750030914,7,AVENUE CHARLES FLOQUET,AVENUE
750164947,8,AVENUE CHARLES GIRAULT,AVENUE
750167593,7,AVENUE CHARLES RISLER,AVENUE
750068244,13,AVENUE CLAUDE REGAUD,AVENUE
750046237,10,AVENUE CLAUDE VELLEFAUX,AVENUE
750031119,7,AVENUE CONSTANT COQUELIN,AVENUE
