Zone Name,zone_name,Ward Name,Name of Parking,Parking Address,Latitude,Longitude,No. of 4 wheeler parking,No. of 2 wheeler parking
Hariparwat,Hariparwat,   Ghatwasan,    Group_B_8(3),   Vehicles moving to Dayalbagh,27.210795,78.005381,27,208
Tajganj,Hariparwat,   Wazirpura,    BESIDE,   Commissioner Central Excise Left side Parking,27.201358,78.008259,55,421
Hariparwat,Chatta,   Bhagwati Bagh,    Group_A_1(1),   All vehicles going to BhagwanTalkies in front of Shriram Peta,27.203169,78.039617,23,175
Hariparwat,Chatta,   Trans Yamuna,    Group_A_1(2),   Vehicles moving to Firozabad,27.202878,78.040187,20,154
Hariparwat,Chatta,   Trans Yamuna,    Group_A_1(3),   Vehicles moving to Firozabad,27.202628,78.040965,20,154
Hariparwat,Hariparwat,   Wazirpura,    BP1,   Parking in front of Signature Global,27.197553,78.003728,40,305
Hariparwat,Hariparwat,   Wazirpura,    BP3,   Parking in front of HDFC Bank,27.197273,78.003562,6,50
Hariparwat,Hariparwat,   Wazirpura,    BP5,   Parking inside youth hospital,27.197927,78.002982,23,174
Hariparwat,Hariparwat,   Wazirpura,    BP6,   Parking in front of Shri Basanta Oil Limited,27.198243,78.003628,78,595
Hariparwat,Hariparwat,   Wazirpura,    CP1,   Parking in front of Bharat Petrol Pump,27.1969,78.00461,26,202
Hariparwat,Hariparwat,   Wazirpura,    CP2,   Parking in front of SBI Main Office,27.197063,78.005183,38,290
Hariparwat,Hariparwat,   Wazirpura,    CP3,   Parking in front of UTI Mutual Fund,27.197651,78.005308,16,123
Chatta,Hariparwat,   Wazirpura,    CP4,   Parking in front of Indian Oil,27.197991,78.00548,32,248
Tajganj,Hariparwat,   Wazirpura,    CP5,   In Front of Vastu Ministry Office of Development Commissioner,27.197409,78.006022,32,248
Chatta,Hariparwat,   Wazirpura,    CP6,   GAIL GAS Ltd. Front parking,27.197534,78.00662,39,298
Lohamandi,Hariparwat,   Wazirpura,    DP3,   Parking in front of Kotak Mahindra Life Insurance,27.198421,78.006912,57,434
Hariparwat,Hariparwat,   Wazirpura,    DP5,   Parking in front of mega cell,27.198153,78.007556,26,196
Lohamandi,Hariparwat,   Wazirpura,    Group_C_16,   In Front of Anjana Talkies on M.G Road,27.205361,78.00438,23,178
Lohamandi,Lohamandi,   Khwaspura,    Parking Area,"   Idgah Colony, Agra, Uttar Pradesh ",27.160234,77.985367,NA,NA
Lohamandi,Chatta,   Dhakran,    Parking Area,"   Police Line, Agra, Uttar Pradesh ",27.174234,78.000481,NA,NA
Chatta,Lohamandi,   Gadi Badauriya,    Group_B_13,   From Shriram Enterprises to Rajput Motors on Bodla Chauraha to Sajhaganj Roa,27.188058,77.963359,9,72
Chatta,Lohamandi,   Awas Vikas South,    Group_B_12,   From Jai Mata Di Saree Showroom to Mama Egg Center on Bodla Crossroad to Loh,27.189036,77.962718,10,74
Chatta,Hariparwat,   Wazirpura,    EP6,   Parking in front of Vrindavan,27.19953,78.005417,26,202
Hariparwat,Hariparwat,   Wazirpura,    EP4,   Parking in front of Shivam Property Linker,27.200481,78.005906,55,419
Hariparwat,Lohamandi,   Rahul Nagar Bodla,    Group_B_14_1,   Near Theka Desi Sharab on Bodla Mod Bichpuri Road,27.18876,77.961621,11,87
Hariparwat,Lohamandi,   Rahul Nagar Bodla,    Group_B_14_2,   Near Theka Desi Sharab on Bodla Mod Bichpuri Road,27.188676,77.961372,6,45
Hariparwat,Tajganj,   Sewala Jaat,    Group_E_23,   Maharaja Agrasen Medical Store on Gwalior Road on both sides of Petrol Pump,27.131274,78.00688,2,14
Hariparwat,Lohamandi,   Raja Mandi,    Group_C_22,   in front of Thomson Girls hostel,27.188534,78.001125,4,33
