id,Name,Adress,Name_of_the_Street,Type_of_road,URL,Only_for_Subs,Total_Parking_Spots,PRM_Spots,Electric_Spots,Bicycle_Spots,Maximum_Height,CoordenadaX,CoordenadaY,Tarif_1h,Tarif_2h,Tarif_3h,Tarif_4h,Tarif_24h,District,Phone,Elevator,MonthlySubCar,AnnualSubCar,MonthlySubPRM,AnnualSubPRM,MothlySubElectric,AnnualSubElectric,MonthlySubMoto,AnnualSubMoto,MonthlySubBicl,Tarif_15mn Moto,Tarif_30mn Moto,Tarif_24h Moto
75105-P-077,LAGRANGE MAUBERT,"19 ter rue lagrange, 75005, Paris",rue lagrange,rue,https://www.saemes.fr/fr/parking/parking-lagrange-maubert,False,368,8,14,10,185,234.863.908,488.505.418,4.5,9,13.5,18,40.5,5,143258447,True,269,2690,134.5,1345,134.5,1345,94.1,941,12,0.4,0.8,13.95
75117-P-114,PORTE D ASNIERES,"2 avenue de la porte d asnieres, 75017, Paris",avenue de la porte d asnieres,avenue,https://fr.parkindigo.com/parking/paris-75017/porte-dasnieres-75170600,True,302,0,0,0,190,230.375.258,4.889.037.285,-1,-1,-1,-1,-1,17,141720271,True,-1,-1,-1,-1,-1,-1,96,998,-1,-1,-1,-1
75116-P-074,GROS BOULAINVILLIERS,"15 ter rue de boulainvilliers, 75016, Paris",rue de boulainvilliers,rue,https://www.saemes.fr/fr/parking/parking-gros-boulainvilliers,True,339,0,0,0,195,227.603.512,4.885.251.507,-1,-1,-1,-1,-1,16,144829999,False,216,2160,-1,-1,108,1080,75.6,756,10,-1,-1,-1
75106-P-003,ODEON,"8 ter rue de l ecole de medecine, 75006, Paris",rue de l ecole de medecine,rue,https://fr.parkindigo.com/parking/paris-75006/odeon-75061600,False,269,6,10,15,190,234.112.092,4.885.096.233,4.6,9.2,13.8,18.4,41.4,6,?,True,320,3200,-1,-1,160,1600,96,960,10,0.4,0.8,14.4
75114-P-111,DIDOT,"2 ter rue didot, 75014, Paris",rue didot,rue,https://www.saemes.fr/fr/parking/parking-didot,True,272,4,0,0,190,232.161.328,4.883.399.678,-1,-1,-1,-1,-1,14,144829999,True,-1,-1,-1,-1,-1,-1,72,720,-1,-1,-1,-1
75108-P-030,MADELEINE TRONCHET,"21 m place de la madeleine, 75008, Paris",place de la madeleine,place,https://www.saemes.fr/fr/parking/parking-madeleine-tronchet,False,949,20,465,52,190,232.442.949,4.887.086.907,4.6,9.2,13.8,18.4,41.4,8,144826800,True,293,2930,146,1460,205.1,2051,102,1020,12,0.4,0.8,14.4
75107-P-134,LA TOUR MAUBOURG ORSAY,"45 ter quai d orsay, 75007, Paris",quai d orsay,quai,https://www.q-park-resa.fr/fr/parking/paris/tour-maubourg-33.html,False,434,9,3,0,190,23.097.455,4.886.236.723,5.8,11.6,17.4,23.2,47.85,7,144180405,True,368,3545,-1,-1,145,1740,168,1312,-1,-1,-1,-1
75101-P-006,VENDOME,"26 ter place vendome, 75001, Paris",place vendome,place,https://fr.parkindigo.com/parking/paris-75001/vendome-75010800,False,1111,30,4,0,190,233.000.068,4.886.783.544,5.4,10.8,16.2,21.6,48.6,1,142605000,True ,324,3369,-1,-1,162,1684,113,1179,10,0.5,0.95,16.65
75108-P-109,ETOILE FRIEDLAND,"14 ter avenue de friedland, 75008, Paris",avenue de friedland,avenue,https://fr.parkindigo.com/parking/paris-75008/etoile-friedland-75080800,False,576,6,8,6,190,230.123.059,4.887.452.022,5.4,10.8,16.2,21.6,48.6,8,142896964,True,309,3213,-1,-1,154,1606,141,1466,-1,-1,-1,-1
75117-P-112,MAC MAHON,"17 ter avenue mac mahon, 75017, Paris",avenue mac mahon,avenue,https://fr.parkindigo.com/parking/paris-75017/mac-mahon-75171100,False,418,0,0,0,190,229.440.942,4.887.655.243,5,10,15,20,45,17,141720271,True,274,2849,137,1424,137,1424,95,997,10,0.45,0.9,15.75
75115-P-034,CITROEN CEVENNES,"45 bis rue leblanc, 75015, Paris",rue leblanc,rue,https://fr.parkindigo.com/parking/paris-75015/citroen-cevennes-75150300,False,569,12,6,6,190,2.276.337,4.883.875.291,4.2,8.4,12.6,16.8,37.8,15,145484330,True,222,2308,111,1154,111,1154,77,807,10,0.4,0.75,13.05
