Identifiant;Nom parc;INSEE;Adresse principale;URL ressource services;Type usagers;Gratuit;Nbre total places;Nbre place parc relais;Nbre place PMR;Nbre place voit elec;Nbre place vélo;Nbre place velo-2rm elec;Nbre place autopartage;Nbre place 2rm;Nbre place covoiturage;Hauteur max;Numéro SIRET;X longitude parc WGS84;Y latitude parc WGS84;Tarif PMR;Tarif_1h;Tarif_2h;Tarif_3h;Tarif_4h;Tarif_24h;Abonnement résident;Abonnement non résident;Type ouvrage;Informations;Identifiants entrées;Adresses entrées;Arrondissement;Délégataire;Téléphone;Horaire ouverture non abonnés;Ascenseur surface;Date application tarif abonnement;Abonnement mensuel;Abonnement annuel;Tarif VL petit rouleur;Tarif petit rouleur annuel mini;Tarif petit rouleur annuel maxi;Tarif VL résident;Tarif résident annuel;Date application tarif horaire;Tarif_15mn;Tarif_30mn;Tarif_1h30;Tarif_7h;Tarif_8h;Tarif_9h;Tarif_10h;Tarif_11h;Tarif_12h;Tarif abonnement PMR mensuel;Tarif abonnement PMR timestriel;Tarif abonnement PMR annuel;Date MaJ données tarif;Tarif abonnement VéhElect mensuel;Tarif abonnement VéhElect trimestriel;Tarif abonnement VéhElect annuel;Tarif moto 1ere heure;Tarif abonnement moto mensuel;Tarif abonnement moto trimestriel;Tarif abonnement moto annuel;Tarif abonnement vélo mensuel;Coord X entrées LB93;Coord Y entrées LB93;Code zones résidentielles;Tarif_15mn Moto;Tarif_30mn Moto;Tarif_24h Moto;Tarif moto petit rouleur;Tarif moto petit rouleur annuel mini;Tarif moto petit rouleur annuel maxi;Tarif moto résident;Tarif moto résident annuel;Parc amodié;Tarif abonnement place attribuée annuel;Parc relais;Tarif abonnement parc relais annuel;Tarif résident mensuel;Parc affilié au dispositif Pass 2RM;Tarif horaire préférentiel Moto Pass 2RM;Tarif de l'abonnement au Pass 2RM mensuel;Tarif de l'abonnement au Pass 2RM trimestriel;Tarif de l'abonnement au Pass 2RM annuel;geo_shape;geo_point_2d
75105-P-077;LAGRANGE MAUBERT;75105;19 ter rue lagrange, 75005, Paris;https://www.saemes.fr/fr/parking/parking-lagrange-maubert;tous;0;368;0;8;14;10;0;5;18;0;185;3,17033E+13;234.863.908;488.505.418;tarif_special;4.5;9.0;13.5;18.0;40.5;208.5;269.0;ouvrage;tarif petit rouleur -30 % = contacter le parc;77-E-A;19 TER RUE LAGRANGE;5;SAEMES;143258447;24h / 24;OUI;2023-01-01T02:00:00+01:00;269.0;2690.0;OUI;1459.0;2085.0;NON;;2023-01-01T02:00:00+01:00;1.15;2.3;6.8;31.5;36.0;40.5;40.5;40.5;40.5;134.5;376.6;1345.0;2023-06-01T04:00:00+02:00;134.5;376.6;1345.0;1.55;94.1;263.6;941.0;12.0;652.202.197;6.861.363.792;1E,4E,5E,5F,5G,5H,5J,6E,6G;0.4;0.8;13.95;OUI;510.0;729.0;NON;;NON;3360.0;NON;;;NON;;;;;"{""coordinates"": [2.348639083602647, 48.85054179989922], ""type"": ""Point""}";48.85054179989922, 2.348639083602647
75117-P-114;PORTE D ASNIERES;75117;2 avenue de la porte d asnieres, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/porte-dasnieres-75170600;abonnés;0;302;0;0;0;0;0;0;0;0;190;7,22054E+13;230.375.258;4.889.037.285;;;;;;;;168.0;ouvrage;abonnements avec reservation uniquement;114-E-A;2 AVENUE DE LA PORTE D ASNIERES;17;INDIGO;141720271;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;;;2023-06-01T04:00:00+02:00;;;;;96.0;270.0;998.0;;648.947.496;6.865.820.796;;;;;NON;;;NON;;NON;1747.0;NON;;;NON;;;;;"{""coordinates"": [2.3037525820336078, 48.89037284556033], ""type"": ""Point""}";48.89037284556033, 2.3037525820336078
75116-P-074;GROS BOULAINVILLIERS;75116;15 ter rue de boulainvilliers, 75016, Paris;https://www.saemes.fr/fr/parking/parking-gros-boulainvilliers;abonnés;0;339;0;0;0;0;0;0;6;0;195;3,17033E+13;227.603.512;4.885.251.507;tarif_special;;;;;;160.0;216.0;ouvrage;;74-E-A;15 TER RUE DE BOULAINVILLIERS;16;SAEMES;144829999;POUR ABONNES;NON;1900-01-01T01:09:21+01:00;216.0;2160.0;NON;;;OUI;1600.0;1900-01-01T01:09:21+01:00;;;;;;;;;;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;108.0;302.5;1080.0;;75.6;211.8;756.0;10.0;646.876.567;6.861.629.598;16P,16T;;;;NON;;;OUI;560.0;NON;2700.0;NON;;160.0;NON;;;;;"{""coordinates"": [2.2760351202579288, 48.852515072299504], ""type"": ""Point""}";48.852515072299504, 2.2760351202579288
75106-P-003;ODEON;75106;8 ter rue de l ecole de medecine, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/odeon-75061600;tous;0;269;0;6;10;15;8;6;13;0;190;6,42021E+13;234.112.092;4.885.096.233;tarif_special;4.6;9.2;13.8;18.4;41.4;170.0;320.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,30 euros;3-E-A;8 TER RUE DE L ECOLE DE MEDECINE;6;INDIGO;?;24h / 24;OUI;2022-10-01T04:00:00+02:00;320.0;3200.0;NON;;;OUI;1700.0;2022-10-01T04:00:00+02:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;0.0;0.0;0.0;2023-06-01T04:00:00+02:00;160.0;456.0;1600.0;1.6;96.0;273.6;960.0;10.0;651.650.906;6.861.415.128;4E,5E,5F,5G,5H,5J,6E,6F,6G,7L,7M;0.4;0.8;14.4;NON;;;OUI;595.0;NON;3840.0;NON;;170.0;NON;;;;;"{""coordinates"": [2.3411209169681033, 48.85096232856645], ""type"": ""Point""}";48.85096232856645, 2.3411209169681033
75114-P-111;DIDOT;75114;2 ter rue didot, 75014, Paris;https://www.saemes.fr/fr/parking/parking-didot;abonnés;0;272;0;4;0;0;0;1;15;0;190;3,17033E+13;232.161.328;4.883.399.678;tarif_special;;;;;;;180.0;ouvrage;abonnements avec reservation uniquement;111-M-A;2 TER RUE DIDOT;14;SAEMES;144829999;POUR ABONNES;OUI;1900-01-01T01:09:21+01:00;;;NON;;;NON;;1900-01-01T01:09:21+01:00;;;;;;;;;;;234.0;;2023-06-01T04:00:00+02:00;;;;;72.0;187.0;720.0;;650.203.247;6.859.540.859;;;;;NON;;;NON;;NON;1800.0;NON;;;NON;;;;;"{""coordinates"": [2.32161327646211, 48.833996783785665], ""type"": ""Point""}";48.833996783785665, 2.32161327646211
75108-P-030;MADELEINE TRONCHET;75108;21 m place de la madeleine, 75008, Paris;https://www.saemes.fr/fr/parking/parking-madeleine-tronchet;tous;0;949;0;20;465;52;54;0;157;0;190;3,17033E+13;232.442.949;4.887.086.907;tarif_special;4.6;9.2;13.8;18.4;41.4;234.4;293.0;ouvrage;tarif petit rouleur -25 % = contacter le parc;30-E-A;21 M PLACE DE LA MADELEINE;8;SAEMES;144826800;24h / 24;OUI;2023-01-01T02:00:00+01:00;293.0;2930.0;OUI;1758.0;2344.0;NON;;2023-01-01T02:00:00+01:00;1.15;2.3;6.9;32.2;36.8;41.4;41.4;41.4;41.4;146.0;410.0;1460.0;2023-06-01T04:00:00+02:00;205.1;574.0;2051.0;1.6;102.0;287.0;1020.0;12.0;650.445.043;6.863.638.936;1E,2E,8E,8F,8G,8H,8J,8K,8L,9E,9G;0.4;0.8;14.4;OUI;615.0;820.0;NON;;NON;3663.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3244294947027857, 48.87086907286335], ""type"": ""Point""}";48.87086907286335, 2.3244294947027857
75107-P-134;LA TOUR MAUBOURG ORSAY;75107;45 ter quai d orsay, 75007, Paris;https://www.q-park-resa.fr/fr/parking/paris/tour-maubourg-33.html;tous;0;434;0;9;3;0;0;0;11;0;190;3,78888E+13;23.097.455;4.886.236.723;;5.8;11.6;17.4;23.2;47.85;200.0;368.0;ouvrage;;134-E-A;45 TER QUAI D ORSAY;7;Q PARK;144180405;24h / 24;OUI;2023-01-01T02:00:00+01:00;368.0;3545.0;NON;;;OUI;2400.0;2023-01-01T02:00:00+01:00;1.45;2.9;8.7;40.6;46.4;47.85;47.85;47.85;47.85;;;;2023-06-01T04:00:00+02:00;145.0;;1740.0;;168.0;464.0;1312.0;;649.359.695;6.862.702.916;1E,7E,7F,7G,7H,7J,7K,7L,7M,7N,8E,16H;;;;NON;;;NON;;NON;4430.0;NON;;200.0;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3097455029277723, 48.86236722539152], ""type"": ""Point""}";48.86236722539152, 2.3097455029277723
75101-P-006;VENDOME;75101;26 ter place vendome, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/vendome-75010800;tous;0;1111;0;30;4;0;0;0;60;0;190;6,92009E+13;233.000.068;4.886.783.544;;5.4;10.8;16.2;21.6;48.6;226.0;324.0;ouvrage;;6-E-A;26 TER PLACE VENDOME;1;INDIGO;142605000;24h / 24;OUI (ÉLÉVATEUR);2023-04-01T04:00:00+02:00;324.0;3369.0;NON;;;OUI;2358.0;2023-01-01T02:00:00+01:00;1.35;2.7;8.1;37.8;43.2;48.6;48.6;48.6;48.6;;;;2023-06-01T04:00:00+02:00;162.0;459.0;1684.0;1.85;113.0;321.0;1179.0;10.0;650.850.833;6.863.298.137;1E,2E,6E,7L,8E,8H,8K,9G;0.5;0.95;16.65;NON;;;NON;;NON;4211.0;NON;;226.0;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3300006838193625, 48.867835435647685], ""type"": ""Point""}";48.867835435647685, 2.3300006838193625
75108-P-109;ETOILE FRIEDLAND;75108;14 ter avenue de friedland, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/etoile-friedland-75080800;tous;0;576;0;6;8;6;0;0;5;0;190;6,52008E+13;230.123.059;4.887.452.022;;5.4;10.8;16.2;21.6;48.6;;309.0;ouvrage;autre entree = 39 ter avenue de Friedland, 75008, Paris;109-E-A,109-E-B;14 TER AVENUE DE FRIEDLAND,39 TER AVENUE DE FRIEDLAND;8;INDIGO;142896964;24h / 24;OUI;2023-04-01T04:00:00+02:00;309.0;3213.0;NON;;;NON;;2023-01-01T02:00:00+01:00;1.35;2.7;8.1;37.8;43.2;48.6;48.6;48.6;48.6;;;;2023-06-01T04:00:00+02:00;154.0;438.0;1606.0;;141.0;399.0;1466.0;;648746.976 | 648589.284;6864059.724 | 6864013.289;;;;;NON;;;NON;;NON;4016.0;NON;;;OUI;1.2;90.0;256.0;990.0;"{""coordinates"": [2.3012305914235913, 48.874520216329955], ""type"": ""Point""}";48.874520216329955, 2.3012305914235913
75117-P-112;MAC MAHON;75117;17 ter avenue mac mahon, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/mac-mahon-75171100;tous;0;418;0;0;0;0;0;0;15;0;190;3,04646E+13;229.440.942;4.887.655.243;tarif_special;5.0;10.0;15.0;20.0;45.0;219.0;274.0;ouvrage;tarif petit rouleur -25 % = contacter le parc,tarif PMR = 2,50 euros;112-E-A;17 TER AVENUE MAC MAHON;17;INDIGO;141720271;24h / 24;OUI;2023-04-01T04:00:00+02:00;274.0;2849.0;OUI;1709.25;2279.0;NON;;2023-01-01T02:00:00+01:00;1.25;2.5;7.5;35.0;40.0;45.0;45.0;45.0;45.0;137.0;390.0;1424.0;2023-06-01T04:00:00+02:00;137.0;390.0;1424.0;1.75;95.0;273.0;997.0;10.0;648.248.692;6864290.14;8F,8G,16E,16F,16G,17E,17F,17H,17J;0.45;0.9;15.75;OUI;592.5;790.0;NON;;NON;3561.0;NON;;;OUI;0.8;70.0;199.0;770.0;"{""coordinates"": [2.2944094161316126, 48.87655243022576], ""type"": ""Point""}";48.87655243022576, 2.2944094161316126
