id;name;Addresse;URL ressource services;Type uers;Total Parking spots;PRM spots;Electric Spots;Bicycle spots;max height;cordx;cordy;Tarif_1h;Tarif_2h;Tarif_3h;Tarif_4h;Tarif_24h;District;Phone;Public Opening Hours;Elevator;MonthlySubCar;AnnualSubCar;MonthlySubPRM;AnnualSubPRM;MothlySubElectric;AnnualSubElectric;MonthlySubMoto;AnnualSubMoto;MonthlySubBcl;Tarif_15mn Moto;Tarif_30mn Moto;Tarif_24h Moto
75105-P-077;LAGRANGE MAUBERT;19 ter rue lagrange, 75005, Paris;https://www.saemes.fr/fr/parking/parking-lagrange-maubert;tous;368;8;14;10;185;234.863.908;488.505.418;4.5;9.0;13.5;18.0;40.5;5;143258447;24h / 24;OUI;269.0;2690.0;134.5;1345.0;134.5;1345.0;94.1;941.0;12.0;0.4;0.8;13.95
75117-P-114;PORTE D ASNIERES;2 avenue de la porte d asnieres, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/porte-dasnieres-75170600;abonnés;302;0;0;0;190;230.375.258;4.889.037.285;;;;;;17;141720271;POUR ABONNES;OUI;;;;;;;96.0;998.0;;;;
75116-P-074;GROS BOULAINVILLIERS;15 ter rue de boulainvilliers, 75016, Paris;https://www.saemes.fr/fr/parking/parking-gros-boulainvilliers;abonnés;339;0;0;0;195;227.603.512;4.885.251.507;;;;;;16;144829999;POUR ABONNES;NON;216.0;2160.0;0.0;0.0;108.0;1080.0;75.6;756.0;10.0;;;
75106-P-003;ODEON;8 ter rue de l ecole de medecine, 75006, Paris;https://fr.parkindigo.com/parking/paris-75006/odeon-75061600;tous;269;6;10;15;190;234.112.092;4.885.096.233;4.6;9.2;13.8;18.4;41.4;6;?;24h / 24;OUI;320.0;3200.0;0.0;0.0;160.0;1600.0;96.0;960.0;10.0;0.4;0.8;14.4
75114-P-111;DIDOT;2 ter rue didot, 75014, Paris;https://www.saemes.fr/fr/parking/parking-didot;abonnés;272;4;0;0;190;232.161.328;4.883.399.678;;;;;;14;144829999;POUR ABONNES;OUI;;;;;;;72.0;720.0;;;;
75108-P-030;MADELEINE TRONCHET;21 m place de la madeleine, 75008, Paris;https://www.saemes.fr/fr/parking/parking-madeleine-tronchet;tous;949;20;465;52;190;232.442.949;4.887.086.907;4.6;9.2;13.8;18.4;41.4;8;144826800;24h / 24;OUI;293.0;2930.0;146.0;1460.0;205.1;2051.0;102.0;1020.0;12.0;0.4;0.8;14.4
75107-P-134;LA TOUR MAUBOURG ORSAY;45 ter quai d orsay, 75007, Paris;https://www.q-park-resa.fr/fr/parking/paris/tour-maubourg-33.html;tous;434;9;3;0;190;23.097.455;4.886.236.723;5.8;11.6;17.4;23.2;47.85;7;144180405;24h / 24;OUI;368.0;3545.0;;;145.0;1740.0;168.0;1312.0;;;;
75101-P-006;VENDOME;26 ter place vendome, 75001, Paris;https://fr.parkindigo.com/parking/paris-75001/vendome-75010800;tous;1111;30;4;0;190;233.000.068;4.886.783.544;5.4;10.8;16.2;21.6;48.6;1;142605000;24h / 24;OUI (ÉLÉVATEUR);324.0;3369.0;;;162.0;1684.0;113.0;1179.0;10.0;0.5;0.95;16.65
75108-P-109;ETOILE FRIEDLAND;14 ter avenue de friedland, 75008, Paris;https://fr.parkindigo.com/parking/paris-75008/etoile-friedland-75080800;tous;576;6;8;6;190;230.123.059;4.887.452.022;5.4;10.8;16.2;21.6;48.6;8;142896964;24h / 24;OUI;309.0;3213.0;;;154.0;1606.0;141.0;1466.0;;;;
75117-P-112;MAC MAHON;17 ter avenue mac mahon, 75017, Paris;https://fr.parkindigo.com/parking/paris-75017/mac-mahon-75171100;tous;418;0;0;0;190;229.440.942;4.887.655.243;5.0;10.0;15.0;20.0;45.0;17;141720271;24h / 24;OUI;274.0;2849.0;137.0;1424.0;137.0;1424.0;95.0;997.0;10.0;0.45;0.9;15.75
75115-P-034;CITROEN CEVENNES;45 bis rue leblanc, 75015, Paris;https://fr.parkindigo.com/parking/paris-75015/citroen-cevennes-75150300;tous;569;12;6;6;190;2.276.337;4.883.875.291;4.2;8.4;12.6;16.8;37.8;15;145484330;24h / 24;OUI;222.0;2308.0;111.0;1154.0;111.0;1154.0;77.0;807.0;10.0;0.4;0.75;13.05
