centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;centro_titular;dat_codigo;dat_nombre;direccion_via_tipo;direccion_via_nombre;direccion_numero;direccion_codigo_postal;municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;contacto_telefono1;contacto_telefono2;contacto_telefono3;contacto_telefono4;contacto_fax;contacto_web;contacto_email1;LATITUD;LONGITUD
28000029;SAN BLAS;70;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Víctor Hurtado;s/n;28864;2;Ajalvir;;;918844589;;;;918844211;http://www.educa.madrid.org/cp.sanblas.ajalvir;cp.sanblas.ajalvir@educa.madrid.org;40,53989856;-3,48613787
28000042;EL ALAMO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;CALLE;del Río Alagón;1;28607;4;Álamo, El;;;918120652;;;;918122834;http://www.educa.madrid.org/cp.elalamo.elalamo;cp.elalamo.elalamo@educa.madrid.org;40,22954597;-3,98783533
28000054;ANTONIO DE NEBRIJA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;San Ignacio de Loyola;13;28806;5;Alcalá de Henares;;;918882368;;;;918882368;http://www.educa.madrid.org/cp.antoniodenebrija.alcala;cp.antoniodenebrija.alcala@educa.madrid.org;40,49091386;-3,37304687
28000066;CARDENAL CISNEROS;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;San Juan;2;28801;5;Alcalá de Henares;;;918880447;615303251;;;918837578;http://www.educa.madrid.org/cp.cardenalcisnero.alcala;cp.cardenalcisnero.alcala@educa.madrid.org;40,48142884;-3,36978521
28000078;CERVANTES;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Giner de los Ríos;5;28800;5;Alcalá de Henares;;;918889973;;;;918816276;http://www.educa.madrid.org/cp.cervantes.alcala;cp.cervantes.alcala@educa.madrid.org;40,48373216;-3,35930874
28000081;DAOIZ Y VELARDE;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;Infantado;2;28807;5;Alcalá de Henares;;;918880958;918829222;;;918880958;http://www.educa.madrid.org/cp.daoizyvelarde.alcala;cp.daoizyvelarde.alcala@educa.madrid.org;40,48771434;-3,36783739
28000157;SAGRADO CORAZON DE JESUS;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;RELIGIOSAS FILIPENSES;3;Madrid-Este;CALLE;Escritorios;6;28801;5;Alcalá de Henares;;;918880654;918880073;;;918836927;http://www.colegiofilipensealcaladehenares.es;cc.scorazondejesus.alcala@educa.madrid.org;40,48109541;-3,36698718
28000224;SAN FELIPE NERI;15;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO CONCERTADO;CONGREGACION DEL ORATORIO DE SAN FELIPE NERI;3;Madrid-Este;CALLE;San Felipe Neri;4;28801;5;Alcalá de Henares;;;918881397;;;;918881397;www.colegiosanfelipe.es;cc.sanfelipeneri.alcala@educa.madrid.org;40,48169247;-3,36904335
28000303;ESCUELAS PIAS;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;ESCUELAS PIAS PROVINCIA BETANIA;3;Madrid-Este;AVDA;Lope de Figueroa;27;28804;5;Alcalá de Henares;;;918893158;918880356;;;918820850;http://www.escolapiosalcala.es;cc.escuelaspias.alcala@educa.madrid.org;40,48360516;-3,35375085
28000315;EMPERADOR FERNANDO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;CALLE;de la Ronda Fiscal;44;28803;5;Alcalá de Henares;;;918823334;;;;918807542;http://www.educa.madrid.org/cp.emperadorfernan.alcala;cp.emperadorfernan.alcala@educa.madrid.org;40,47169731;-3,37314106
