CENTRE_CODE;CENTRE_NAME;SHORT_DESCRIPTION;DESCRIPTION;OWNERSHIP;OWNER;COMPLETE_ADDRESS;CP_DIRECTION;MUNICIPALITY_CODE;MUNICIPALITY_NAME;DISTRICT_CODE;DISTRICT_NAME;TELEPHONE_CONTACT;WEB_CONTACT;EMAIL_CONTACT;LATITUD;LONGITUD
28000029;SAN BLAS;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE VÍCTOR HURTADO, s/n, 28864;28864;2;Ajalvir;NaN;NaN;918844589;http://www.educa.madrid.org/cp.sanblas.ajalvir;cp.sanblas.ajalvir@educa.madrid.org;40,53989856;-3,48613787
28000042;EL ALAMO;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DEL RÍO ALAGÓN, 1, 28607;28607;4;Álamo, El;NaN;NaN;918120652;http://www.educa.madrid.org/cp.elalamo.elalamo;cp.elalamo.elalamo@educa.madrid.org;40,22954597;-3,98783533
28000054;ANTONIO DE NEBRIJA;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE SAN IGNACIO DE LOYOLA, 13, 28806;28806;5;Alcalá de Henares;NaN;NaN;918882368;http://www.educa.madrid.org/cp.antoniodenebrija.alcala;cp.antoniodenebrija.alcala@educa.madrid.org;40,49091386;-3,37304687
28000066;CARDENAL CISNEROS;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE SAN JUAN, 2, 28801;28801;5;Alcalá de Henares;NaN;NaN;918880447;http://www.educa.madrid.org/cp.cardenalcisnero.alcala;cp.cardenalcisnero.alcala@educa.madrid.org;40,48142884;-3,36978521
28000078;CERVANTES;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE GINER DE LOS RÍOS, 5, 28800;28800;5;Alcalá de Henares;NaN;NaN;918889973;http://www.educa.madrid.org/cp.cervantes.alcala;cp.cervantes.alcala@educa.madrid.org;40,48373216;-3,35930874
28000081;DAOIZ Y VELARDE;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE INFANTADO, 2, 28807;28807;5;Alcalá de Henares;NaN;NaN;918880958;http://www.educa.madrid.org/cp.daoizyvelarde.alcala;cp.daoizyvelarde.alcala@educa.madrid.org;40,48771434;-3,36783739
28000157;SAGRADO CORAZON DE JESUS;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;RELIGIOSAS FILIPENSES;CALLE ESCRITORIOS, 6, 28801;28801;5;Alcalá de Henares;NaN;NaN;918880654;http://www.colegiofilipensealcaladehenares.es;cc.scorazondejesus.alcala@educa.madrid.org;40,48109541;-3,36698718
28000224;SAN FELIPE NERI;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO CONCERTADO;CONGREGACION DEL ORATORIO DE SAN FELIPE NERI;CALLE SAN FELIPE NERI, 4, 28801;28801;5;Alcalá de Henares;NaN;NaN;918881397;www.colegiosanfelipe.es;cc.sanfelipeneri.alcala@educa.madrid.org;40,48169247;-3,36904335
28000303;ESCUELAS PIAS;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;ESCUELAS PIAS PROVINCIA BETANIA;AVDA LOPE DE FIGUEROA, 27, 28804;28804;5;Alcalá de Henares;NaN;NaN;918893158;http://www.escolapiosalcala.es;cc.escuelaspias.alcala@educa.madrid.org;40,48360516;-3,35375085
28000315;EMPERADOR FERNANDO;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE LA RONDA FISCAL, 44, 28803;28803;5;Alcalá de Henares;NaN;NaN;918823334;http://www.educa.madrid.org/cp.emperadorfernan.alcala;cp.emperadorfernan.alcala@educa.madrid.org;40,47169731;-3,37314106
28000327;SANTA MARIA DE LA PROVIDENCIA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION EDUCACION Y EVANGELIO;CALLE HUERTAS, 4, 28807;28807;5;Alcalá de Henares;NaN;NaN;918819409;http://www.smprovidencia-alcala.es;cc.smdelaprovidencia.alcala@educa.madrid.org;40,48841536;-3,3655285
28000364;COMPLUTENSE;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE VALLADOLID, 1, 28804;28804;5;Alcalá de Henares;NaN;NaN;918880169;http://www.educa.madrid.org/ies.complutense.alcala;ies.complutense.alcala@educa.madrid.org;40,4845597;-3,34795079
28000376;NUESTRA SEÑORA DEL VAL;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE ÁVILA, s/n, 28804;28804;5;Alcalá de Henares;NaN;NaN;918893702;http://www.educa.madrid.org/cp.val.alcala;cp.val.alcala@educa.madrid.org;40,48630222;-3,34367667
28000388;DOCTORA DE ALCALA;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE DE PEDRO SARMIENTO DE GAMBOA, 11, 28805;28805;5;Alcalá de Henares;NaN;NaN;918883764;http://www.educa.madrid.org/cp.doctora.alcala;cp.doctora.alcala@educa.madrid.org;40,49075815;-3,35964121
28000406;SAN GABRIEL;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;PADRES PASIONISTAS;CTRA DAGANZO, k 2,5, 28800;28800;5;Alcalá de Henares;NaN;NaN;918890650;http://www.educa.madrid.org/cc.sangabriel.alcala;cc.sangabriel.alcala@educa.madrid.org;40,49942373;-3,3878341
28000421;SAN IGNACIO DE LOYOLA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;COLEGIO DE SAN IGNACIO COMPAÑIA DE JESUS (JESUITAS);CALLE CONCEPCIÓN ARENAL, 3, 28806;28806;5;Alcalá de Henares;NaN;NaN;918871114;http://www.sanignacioalcala.es;cc.sanignaciodeloyola.alcala@educa.madrid.org;40,49637088;-3,36534745
28000431;MINERVA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;COLEGIOS MINERVA S.L.;CALLE BATALLA DE LEPANTO, 1, 28804;28804;5;Alcalá de Henares;NaN;NaN;918881362;http://www.educa.madrid.org/cc.minerva.alcala;cc.minerva.alcala@educa.madrid.org;40,48573065;-3,35688878
28000467;ALONSO DE AVELLANEDA;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE VITORIA, 3, 28804;28804;5;Alcalá de Henares;NaN;NaN;918881174;http://www.educa.madrid.org/ies.alonsodeavellan.alcala;ies.alonsodeavellan.alcala@educa.madrid.org;40,49076767;-3,34165805
28000479;CALASANZ;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION ESCOLAPIAS MONTAL;CALLE SANTIAGO, 29, 28801;28801;5;Alcalá de Henares;NaN;NaN;918892900;http://www.calasanzalcala.com;cc.calasanz.alcala@educa.madrid.org;40,48354755;-3,36645779
28000492;LOPE DE VEGA;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;PROLOVE, S.A.;CALLE DE LUIS DE MEDINA, 12, 28805;28805;5;Alcalá de Henares;NaN;NaN;918893879;http://www.colegiolopedevega.com;cc.lopedevega.alcala@educa.madrid.org;40,49019872;-3,35701865
28000522;ANTONIO MACHADO;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;CALLE ALALPARDO, s/n, 28806;28806;5;Alcalá de Henares;NaN;NaN;918892450;http://www.educa.madrid.org/ies.machado.alcala;ies.machado.alcala@educa.madrid.org;40,49164515;-3,36975868
