Indicadores municipales de sostenibilidad: Índice de delitos (? habitantes);;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;41,05;33,57;31,38;38,52;38,18;36,48;35,77;37,92;38,54;40,02;42,82;44,76;45,72;45,60;42,26;36,61;34,89;32,96;35,78;34,10
Bizkaia;;50,18;42,12;37,96;48,29;46,18;42,50;42,32;42,79;44,54;46,10;46,03;43,54;43,47;46,61;45,69;43,02;42,77;42,34;40,77;39,93
CAE;;45,21;37,88;34,24;42,13;40,49;37,63;37,42;38,66;39,94;40,82;41,58;40,31;40,65;42,81;40,75;37,57;37,26;35,64;35,15;34,03
Gipuzkoa;;39,24;33,10;29,63;33,96;32,46;30,39;30,30;32,37;33,15;32,62;33,76;33,00;33,72;35,29;31,92;28,98;29,21;25,82;25,66;24,27
"";;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;41,15;34,77;31,22;31,98;41,24;36,01;32,44;36,27;40,51;36,46;50,41;51,28;44,03;45,42;47,12;51,24;44,68;37,13;35,74;34,36
01200;Arabako Lautada / Llanada Alavesa;42,25;34,25;32,17;40,52;40,32;38,09;37,95;39,91;39,90;41,87;44,70;46,78;48,90;48,26;44,08;37,37;35,25;33,96;36,23;34,25
01300;Arabako Mendialdea / Montaña Alavesa;30,69;26,15;22,57;29,51;32,22;29,23;26,04;21,70;26,35;29,52;29,15;33,43;28,77;29,06;23,86;27,18;22,55;16,87;23,88;17,94
48100;Arratia Nerbioi / Arratia-Nervión;36,82;34,74;31,06;31,49;31,71;31,51;29,27;30,04;33,36;33,20;37,26;38,75;34,78;34,87;33,49;34,84;29,16;24,02;28,17;28,39
20200;Bidasoa Beherea / Bajo Bidasoa;55,72;45,16;35,90;42,81;41,07;40,82;39,70;39,03;41,87;41,79;40,73;37,94;41,36;41,98;39,53;37,91;38,89;35,26;37,67;33,32
48200;Bilbo Handia / Gran Bilbao;53,91;44,69;40,24;52,93;50,57;46,43;46,06;46,18;47,70;49,51;49,31;45,60;45,53;49,79;48,20;45,34;45,88;45,46;44,17;42,62
20100;Deba Beherea / Bajo Deba;40,39;33,97;28,35;30,01;32,71;30,34;28,73;30,45;33,78;31,68;32,92;33,55;32,70;35,12;27,98;25,42;24,84;25,10;21,47;20,35
20300;Debagoiena / Alto Deba;31,11;25,09;19,90;22,22;21,26;20,48;20,25;23,11;21,14;22,99;27,16;24,53;27,27;27,39;21,68;21,91;21,06;17,24;17,24;15,69
20400;Donostialdea / Donostia-San Sebastián;38,53;34,50;30,91;35,71;34,98;31,22;29,82;31,77;32,96;31,48;31,75;32,91;32,24;35,23;33,29;29,75;30,28;25,58;26,13;24,82
48300;Durangaldea / Duranguesado;37,67;30,63;26,33;30,36;28,97;25,76;25,51;27,44;29,88;32,70;33,70;34,18;34,63;32,53;39,36;34,08;33,37;31,27;28,48;30,73
48400;Enkartazioak / Encartaciones;44,64;38,00;35,40;39,20;34,46;33,90;32,52;33,15;37,18;34,54;34,62;34,42;32,73;35,20;31,62;32,19;32,84;34,20;30,84;28,60
01400;Errioxa Arabarra / Rioja Alavesa;34,13;29,87;29,33;35,91;37,53;33,08;30,44;29,87;41,49;38,53;39,68;39,04;33,56;39,64;39,43;34,35;33,51;31,95;27,93;27,66
48500;Gernika-Bermeo;40,27;39,65;34,05;37,15;38,99;33,95;41,98;41,18;40,58;41,74;39,89;40,68;39,27;43,29;42,18;36,91;33,12;32,07;29,95;29,49
20500;Goierri;38,01;28,93;27,96;31,69;28,13;25,87;33,31;38,40;33,78;34,65;39,00;36,31;35,73;32,78;30,30;26,38;26,75;23,90;20,19;21,29
01500;Gorbeia Inguruak / Estribaciones del Gorbea;45,39;38,28;32,47;31,29;34,42;38,47;39,88;39,17;38,53;37,13;43,74;49,51;53,00;50,26;51,45;49,03;51,21;45,55;52,67;53,34
01600;Kantauri Arabarra / Cantábrica Alavesa;33,87;28,77;26,58;27,94;23,24;25,73;21,59;27,12;28,18;28,58;29,30;29,97;24,95;28,39;28,54;26,62;27,55;23,31;31,07;30,88
48600;Markina-Ondarroa;37,86;30,26;26,37;27,92;27,71;26,09;26,56;29,74;27,76;24,47;24,16;25,59;26,64;30,63;26,41;24,66;20,04;18,33;16,99;18,95
48700;Plentzia-Mungia;38,91;36,72;36,81;40,09;36,96;36,20;33,47;36,12;41,58;41,64;40,59;44,23;45,06;42,50;41,97;42,92;36,92;41,61;36,26;41,63
20600;Tolosaldea / Tolosa;44,70;36,03;39,86;43,79;34,05;33,64;37,59;41,73;42,81;41,21;40,03;36,09;37,25;38,24;36,14;32,92;29,78;25,43;27,08;27,23
20700;Urola-Kostaldea / Urola Costa;29,07;22,70;21,59;25,87;24,98;26,47;24,97;25,87;27,86;29,28;32,41;29,60;33,64;35,78;28,19;23,90;25,83;26,42;24,92;23,31
